code,title,year,genres,ratings_avg,comments
m2djarO,블러디 선데이,2002,['드라마'],3.7,"[{'user_code': 'DgwxAeQYNxrMj', 'user_name': '이동진 평론가', 'user_rating': 3.5}, {'user_code': 'nkPvrZwJDvgar', 'user_name': '지수_evol', 'user_rating': 4.5}, {'user_code': 'K6ExjB1wwxX1O', 'user_name': 'Hoon', 'user_rating': 3.5}, {'user_code': '6NW5QraB6x1Yo', 'user_name': 'batman103', 'user_rating': 4.0}, {'user_code': 'kPznx988z5761', 'user_name': '홍진형', 'user_rating': 5.0}, {'user_code': 'ZBm5R0Mj7qd46', 'user_name': '김성호의 씨네만세', 'user_rating': 4.0}, {'user_code': 'g64qzYdaLxER0', 'user_name': 'lemonade', 'user_rating': 3.5}, {'user_code': 'Mr95nAmmjvZPG', 'user_name': 'Kyuzinz', 'user_rating': 5.0}, {'user_code': 'zNM5Nynjnv26j', 'user_name': '크로크무슈', 'user_rating': 4.0}, {'user_code': 'Q9L5pA29KxNb0', 'user_name': '한창성', 'user_rating': 3.5}]"
m53EgwO,정사,2001,['드라마'],2.9,"[{'user_code': 'g64qznWbnqER0', 'user_name': 'P1', 'user_rating': 4.0}, {'user_code': 'DgwxAeQYNxrMj', 'user_name': '이동진 평론가', 'user_rating': 3.5}, {'user_code': 'zNM5NyLp3v26j', 'user_name': '곽승현', 'user_rating': 2.0}, {'user_code': 'ZWpqMOkRl5rkn', 'user_name': '알베르 카뮈', 'user_rating': 4.0}, {'user_code': 'a9L5Pr4WOqwg8', 'user_name': '조슈아', 'user_rating': 2.5}, {'user_code': 'WwRqo9XOV5lzB', 'user_name': '김광수', 'user_rating': 5.0}, {'user_code': '4WLxZp37rvroA', 'user_name': '상록', 'user_rating': 3.0}, {'user_code': '7gdxd6e32vGYJ', 'user_name': '르네상스형뮤지션', 'user_rating': 3.5}, {'user_code': 'Mr95n1R2zvZPG', 'user_name': 'Kodak', 'user_rating': 4.0}, {'user_code': 'a9L5PYM1Wxwg8', 'user_name': 'PaPa is', 'user_rating': 3.0}]"
mJO1VQd,매그놀리아,1999,['드라마'],3.9,"[{'user_code': 'JZ4vBdYOZxRXO', 'user_name': '김상지', 'user_rating': 3.5}, {'user_code': 'nkPvrb9ylvgar', 'user_name': 'CHAEYOOE', 'user_rating': 5.0}, {'user_code': 'YMKqmnNJlvloD', 'user_name': '서준영', 'user_rating': 5.0}, {'user_code': 'VRZv4laWnvr6y', 'user_name': '이정환', 'user_rating': 5.0}, {'user_code': 'djaxb48RPvLw8', 'user_name': '윤종원', 'user_rating': 5.0}, {'user_code': '6ADvGQdzgxzZl', 'user_name': '이중석', 'user_rating': 4.0}, {'user_code': '17ovV08glxzyn', 'user_name': '제시', 'user_rating': 4.5}, {'user_code': '2mwvg71E9vMa7', 'user_name': '영화고독발버둥치며본다', 'user_rating': 4.0}, {'user_code': '36lvXrPj3xXdn', 'user_name': '라라', 'user_rating': 5.0}, {'user_code': 'Mr95nPeo7qZPG', 'user_name': '거리에서', 'user_rating': 4.5}]"
mWvk10O,씬 레드 라인,1998,"['드라마', '전쟁']",3.6,"[{'user_code': 'nkPvrb8wrvgar', 'user_name': 'Jay Oh', 'user_rating': 4.0}, {'user_code': 'Pznx9KEljzv76', 'user_name': '선우', 'user_rating': 5.0}, {'user_code': '2mwvgNnAOqMa7', 'user_name': '김동휘', 'user_rating': 4.0}, {'user_code': '6ewxaBeAGqQ1m', 'user_name': 'Cinephile', 'user_rating': 4.0}, {'user_code': '8nPvy4gr4qYo0', 'user_name': '후디캣의 무비라이프', 'user_rating': 3.0}, {'user_code': 'R6OvKWM3WvN8V', 'user_name': '이원모', 'user_rating': 2.5}, {'user_code': '36lvXmWQZ5Xdn', 'user_name': '샌드', 'user_rating': 4.0}, {'user_code': '4WLxZQ9kk5roA', 'user_name': '제프박', 'user_rating': 3.5}, {'user_code': 'YMKqmppRrxloD', 'user_name': 'OverMind', 'user_rating': 4.0}, {'user_code': 'VRZv4EWgw5r6y', 'user_name': 'Eagleeye17', 'user_rating': 4.0}]"
mgOAvld,중앙역,1998,['드라마'],3.9,"[{'user_code': 'JZ4vBRBaWvRXO', 'user_name': '해묘', 'user_rating': 4.0}, {'user_code': 'OkexJZgB4xdbw', 'user_name': 'Dh', 'user_rating': 4.0}, {'user_code': 'g64qznWbnqER0', 'user_name': 'P1', 'user_rating': 3.5}, {'user_code': 'zNM5N0XoGq26j', 'user_name': '김선대', 'user_rating': 5.0}, {'user_code': 'j4PxOwOYkxp0Q', 'user_name': '꼬레양', 'user_rating': 5.0}, {'user_code': 'KWRQxD6b6vdl9', 'user_name': '시나문', 'user_rating': 4.0}, {'user_code': 'JgkqlJJLK5X0b', 'user_name': '강촌마을', 'user_rating': 5.0}, {'user_code': '36lvXmWQZ5Xdn', 'user_name': '샌드', 'user_rating': 4.5}, {'user_code': '8nPvyYebEvYo0', 'user_name': '사과씨', 'user_rating': 5.0}, {'user_code': 'WwRqodpgXvlzB', 'user_name': '하얀너구리', 'user_rating': 3.5}]"
m45n3nW,래리 플린트,1996,['드라마'],3.4,"[{'user_code': 'zNM5NyLp3v26j', 'user_name': '곽승현', 'user_rating': 5.0}, {'user_code': 'Pznx9KEljzv76', 'user_name': '선우', 'user_rating': 4.5}, {'user_code': 'WwRqoR4OWxlzB', 'user_name': '나쁜피', 'user_rating': 4.5}, {'user_code': 'dP8v638205WeJ', 'user_name': '주혜', 'user_rating': 3.0}, {'user_code': 'JgkqlbgWn5X0b', 'user_name': '강중경', 'user_rating': 3.5}, {'user_code': '487Gv7rKJqE6o', 'user_name': '참순이', 'user_rating': 3.5}, {'user_code': 'Pznx9Kmk2Zv76', 'user_name': '강인숙', 'user_rating': 3.0}, {'user_code': '8nPvyG32ZxYo0', 'user_name': '0은', 'user_rating': 4.5}, {'user_code': '8nPvy2az45Yo0', 'user_name': '창훈', 'user_rating': 4.5}, {'user_code': 'JZ4vBgakG5RXO', 'user_name': '여주찬', 'user_rating': 3.5}]"
mWLj43d,센스 앤 센서빌리티,1995,"['드라마', '로맨스', '시대극']",3.6,"[{'user_code': '3BnvwnOBZqPAY', 'user_name': 'Laurent', 'user_rating': 4.0}, {'user_code': 'VRZv4b6NZxr6y', 'user_name': '얀나', 'user_rating': 4.0}, {'user_code': 'VRZv4zNNPxr6y', 'user_name': '다솜땅', 'user_rating': 4.0}, {'user_code': '24BqEknmV5rjn', 'user_name': 'DAEEUN', 'user_rating': 4.0}, {'user_code': 'zNM5N1gz7v26j', 'user_name': 'OSM', 'user_rating': 4.0}, {'user_code': 'WwRqopwVyvlzB', 'user_name': 'Camellia', 'user_rating': 3.5}, {'user_code': 'nkPvrb9ylvgar', 'user_name': 'CHAEYOOE', 'user_rating': 4.0}, {'user_code': 'YMKqmpDOyxloD', 'user_name': '김정민', 'user_rating': 3.5}, {'user_code': 'djaxbLAoPvLw8', 'user_name': 'Olive', 'user_rating': 4.0}, {'user_code': '8nPvyGlM4xYo0', 'user_name': '천성식', 'user_rating': 3.0}]"
m53lM2W,라빠,1995,"['드라마', '범죄']",3.3,"[{'user_code': 'OkexJy4Jg5dbw', 'user_name': '헐리우드영화인생25년', 'user_rating': 3.5}]"
m2Wy1yW,아버지의 이름으로,1993,['드라마'],3.8,"[{'user_code': '87Gv7d6ym5E6o', 'user_name': '혜미', 'user_rating': 4.0}, {'user_code': 'JZ4vBRBaWvRXO', 'user_name': '해묘', 'user_rating': 4.0}, {'user_code': 'zNM5N1gz7v26j', 'user_name': 'OSM', 'user_rating': 4.0}, {'user_code': '87Gv7enzmxE6o', 'user_name': '이태현', 'user_rating': 4.5}, {'user_code': 'zNM5NjDpd526j', 'user_name': 'rodel_ledor', 'user_rating': 4.5}, {'user_code': 'Vj4PxOlMoqp0Q', 'user_name': '근거는물론없다', 'user_rating': 5.0}, {'user_code': '36lvX8PaJvXdn', 'user_name': 'vamoscosmos', 'user_rating': 5.0}, {'user_code': 'Pznx9KEljzv76', 'user_name': '선우', 'user_rating': 5.0}, {'user_code': 'j4PxOEBKdvp0Q', 'user_name': '김민규', 'user_rating': 4.5}, {'user_code': 'WwRqoK1N1qlzB', 'user_name': 'OI', 'user_rating': 4.5}]"
mWp2B4d,향혼녀,1993,['드라마'],3.7,"[{'user_code': 'R6OvKLlVW5N8V', 'user_name': '강재영', 'user_rating': 5.0}, {'user_code': '6ADvG6aJAqzZl', 'user_name': '워니', 'user_rating': 5.0}, {'user_code': 'OkexJy4Jg5dbw', 'user_name': '헐리우드영화인생25년', 'user_rating': 4.0}]"
m5G2yYd,결혼 피로연,1993,"['드라마', '코미디']",3.7,"[{'user_code': 'yKZx3nJg254dJ', 'user_name': '윤제아빠', 'user_rating': 4.0}, {'user_code': 'YaR5Y2PnlxgX1', 'user_name': '윤효병', 'user_rating': 4.0}, {'user_code': 'Qgy51QKN75Djk', 'user_name': '재윤', 'user_rating': 4.0}, {'user_code': 'VRZv4zNNPxr6y', 'user_name': '다솜땅', 'user_rating': 3.5}, {'user_code': 'ZWpqMlmdLxrkn', 'user_name': 'shoei', 'user_rating': 3.5}, {'user_code': 'dP8v6MZBMqWeJ', 'user_name': 'Electric Sheep', 'user_rating': 4.0}, {'user_code': '87Gv72GPVqE6o', 'user_name': '채수호', 'user_rating': 4.0}, {'user_code': 'WwRqoR4OWxlzB', 'user_name': '나쁜피', 'user_rating': 4.5}, {'user_code': '487Gv7NDlqE6o', 'user_name': 'John Doe', 'user_rating': 3.5}, {'user_code': 'WwRqo1Wyy5lzB', 'user_name': '이대해', 'user_rating': 4.5}]"
m5Q8qJd,그랜드 캐년,1991,"['드라마', '범죄']",3.3,"[{'user_code': 'nkPvry2J8Nqga', 'user_name': 'Metacritic', 'user_rating': 3.0}, {'user_code': 'XZBm5RYOavd46', 'user_name': 'IMDb 평점', 'user_rating': 3.5}, {'user_code': 'OkexJy4Jg5dbw', 'user_name': '헐리우드영화인생25년', 'user_rating': 4.0}]"
mOgzBAW,더 하우스 오브 스마일,1991,"['로맨스', '드라마']",3.0,[]
mOVvX1O,줄 위의 종달새,1990,"['로맨틱코미디', '드라마']",3.4,"[{'user_code': '8BRveN4jD56VJ', 'user_name': '다혜', 'user_rating': 4.0}, {'user_code': 'jae5W93GRq1P3', 'user_name': 'sendo akira', 'user_rating': 4.0}, {'user_code': 'Mr95nAagjvZPG', 'user_name': '백준', 'user_rating': 2.5}, {'user_code': 'Pznx9ED3jx761', 'user_name': '물에빠진물고기', 'user_rating': 3.0}, {'user_code': 'JZ4vB0NLzWxRX', 'user_name': 'boinda', 'user_rating': 4.0}, {'user_code': 'nkPvr9ayNqgar', 'user_name': 'KIM', 'user_rating': 2.0}, {'user_code': '6NW5QnEz7x1Yo', 'user_name': '우울한cut과 유쾌한song', 'user_rating': 1.5}]"
m5Gp1pW,뮤직 박스,1989,"['범죄', '드라마', '스릴러']",3.8,"[{'user_code': '6ADvG6VGLqzZl', 'user_name': '정승원', 'user_rating': 4.0}, {'user_code': '8nPvymMB9vYo0', 'user_name': '홍수미', 'user_rating': 4.0}, {'user_code': 'JZ4vBaGdmqRXO', 'user_name': 'YoungChang Jo', 'user_rating': 2.5}, {'user_code': 'VRZv4BnBexr6y', 'user_name': 'vestige', 'user_rating': 4.0}, {'user_code': '6NW5QPKoKv1Yo', 'user_name': '유재현', 'user_rating': 4.5}, {'user_code': 'R6OvKP7nY5N8V', 'user_name': 'Seung Ryul Lee', 'user_rating': 4.0}, {'user_code': 'Q9L5p12oMxNb0', 'user_name': '김현지', 'user_rating': 3.5}, {'user_code': 'D4WLxZjyrxroA', 'user_name': '춘백', 'user_rating': 4.5}, {'user_code': 'nkPvrJdJOvgar', 'user_name': '김민영 ', 'user_rating': 4.0}, {'user_code': 'BJZ4vBP2zxRXO', 'user_name': '임재영', 'user_rating': 4.0}]"
mqW9A4W,레인 맨,1988,['드라마'],4.0,"[{'user_code': 'YaR5Y0Z89vgX1', 'user_name': '강민혁', 'user_rating': 4.0}, {'user_code': 'RE952LmLgqQ72', 'user_name': '오지보이', 'user_rating': 4.0}, {'user_code': '6ADvGQdzgxzZl', 'user_name': '이중석', 'user_rating': 4.0}, {'user_code': 'WwRqopwVyvlzB', 'user_name': 'Camellia', 'user_rating': 4.0}, {'user_code': '2mwvgYmarxMa7', 'user_name': '권혜정', 'user_rating': 4.0}, {'user_code': 'GRE952GgxQ72e', 'user_name': '밀가루', 'user_rating': 4.0}, {'user_code': '17ovV08glxzyn', 'user_name': '제시', 'user_rating': 4.0}, {'user_code': 'OkexJZgB4xdbw', 'user_name': 'Dh', 'user_rating': 4.0}, {'user_code': 'YMKqmON2k5loD', 'user_name': 'minEs2', 'user_rating': 4.0}, {'user_code': '4WLxZl4eEvroA', 'user_name': 'Keyser Soze', 'user_rating': 4.0}]"
