제목,장르,총 평점,유저 평점
리포 맨,액션,3.2,3.0
형사 매드독,드라마,3.1,3.0
마지막 보이 스카웃,액션,3.3,3.0
스니커즈,로맨틱코미디,3.2,3.0
로메로,드라마,3.5,3.5
비버리 힐스 캅,범죄,3.3,3.0
일급 살인,범죄,3.9,3.5
애니씽 엘스,로맨틱코미디,3.1,3.0
카이로의 붉은 장미,코미디,3.9,3.5
스타더스트 메모리스,드라마,3.5,3.0
맨하탄,로맨틱코미디,3.9,3.5
범죄와 비행,드라마,3.6,3.5
부부 일기,코미디,3.7,3.5
그림자와 안개,드라마,3.1,3.0
한나와 그 자매들,로맨틱코미디,3.6,3.5
스몰 타임 크룩스,로맨틱코미디,3.3,3.0
브로드웨이를 쏴라,코미디,3.7,3.5
태평천국의 문,다큐멘터리,3.3,3.0
천공의 성 라퓨타,판타지,3.9,3.5
리치 리치,코미디,3.3,3.0
범죄의 요소,범죄,3.3,3.0
킹덤 2,스릴러,3.3,3.0
킹덤,스릴러,3.3,3.0
마녀 배달부 키키,판타지,3.7,3.5
에이리언 4,SF,3.5,3.0
쿵후 선생,드라마,3.4,3.0
결혼 피로연,드라마,3.7,3.5
사랑에 대한 모든 것,드라마,3.6,3.5
언픽스,로맨스,2.2,2.0
상해탄,액션,2.8,2.5
네이키드,코미디,3.6,3.5
아라크네의 비밀,코미디,3.1,3.0
비밀의 화원,드라마,3.7,3.5
박봉곤 가출 사건,로맨틱코미디,2.5,2.5
너희가 재즈를 믿느냐?,로맨스,1.9,1.5
못말리는 비행사,코미디,3.2,3.0
콜렉터,스릴러,2.1,2.0
부그와 엘리엇,모험,3.2,3.0
작은 신의 아이들,드라마,3.3,3.0
조지아,음악,3.5,3.0
소오강호,액션,3.6,3.5
황금시대,드라마,3.2,3.0
헤비,로맨스,3.7,3.5
프리스트,드라마,3.6,3.5
잭애스,다큐멘터리,3.3,3.0
잭,코미디,3.6,3.5
매,드라마,3.3,3.0
콜드 피버,드라마,2.9,2.5
유랑극단,전쟁,3.9,3.5
시테라 섬으로의 여행,드라마,3.9,3.5
율리시즈의 시선,전쟁,3.9,3.5
데니스는 통화 중,코미디,3.3,3.0
레프리콘,공포,2.3,2.0
더 팬,액션,3.4,3.0
그들만의 계절,스포츠,2.7,2.5
그들만의 리그,스포츠,3.5,3.5
언더그라운드,액션,2.6,2.5
포이즌,공포,3.2,3.0
세이 예스,로맨틱코미디,2.9,2.5
세이프,영국,3.5,3.0
세이프 헤이븐,드라마,3.4,3.0
매직 에로티카,로맨스,2.4,2.0
지하정,드라마,3.3,3.0
인재뉴약,홍콩,3.2,3.0
쾌락과 타락,홍콩,3.1,3.0
연지구,로맨스,3.5,3.5
레드 핫,드라마,3.7,3.5
시티 홀,드라마,3.0,3.0
롱 라이더스,범죄,3.3,3.0
패션 피쉬,드라마,3.5,3.5
헤븐스 프리즈너,스릴러,2.5,2.0
루니 툰: 백 인 액션,판타지,2.8,2.5
블록 파티,다큐멘터리,3.6,3.5
조의 아파트,판타지,3.2,3.0
은밀한 유혹,로맨스,3.1,3.0
피라미드의 공포,판타지,3.3,3.0
햄버거 힐,전쟁,3.0,3.0
스네이크 아이즈,범죄,3.1,3.0
카피캣,공포,3.2,3.0
레인메이커,드라마,3.6,3.5
토이즈,판타지,3.3,3.0
퀘스트,액션,2.5,2.0
체인 리액션,액션,2.8,2.5
걸 식스,드라마,2.7,2.5
스트레인지 데이즈,액션,3.2,3.0
영국식 정원 살인 사건,드라마,3.4,3.0
아름다운 시절,드라마,3.0,3.0
로미오 이즈 블리딩,스릴러,3.2,3.0
색동 공주,,2.9,2.5
미지왕,코미디,2.4,2.0
드래곤 투카,액션,1.9,1.5
드래곤,액션,3.0,3.0
데이라잇,재난,3.3,3.0
흑협,액션,3.0,2.5
여대생 기숙사,공포,2.4,2.0
응징자,액션,2.7,2.5
스플래쉬,로맨틱코미디,3.3,3.0
브로드캐스트 뉴스,드라마,3.4,3.0
투씨,코미디,3.4,3.0
미드나잇 런,액션,3.6,3.5
저주받은 도시,공포,3.1,3.0
겟어웨이-끝없는 도주,액션,3.1,3.0
그린 카드,로맨틱코미디,3.3,3.0
드림 러버,드라마,2.8,2.5
카산드라 드림,로맨스,3.3,3.0
드림걸즈,음악,3.7,3.5
치킨,오스트리아,2.3,2.0
브레이킹 더 웨이브,드라마,3.9,3.5
마이크로코스모스,다큐멘터리,3.5,3.0
랜섬,범죄,3.4,3.0
엠파이어 레코드,드라마,3.3,3.0
체인지,드라마,3.0,2.5
인샬라,로맨스,1.9,1.5
맥시멈 리스크,액션,2.7,2.5
프리쳐스 와이프,로맨스,2.9,2.5
새미와 로지 잠자리에 들다,영국,3.0,2.5
밴,미국,2.8,2.5
그리프터스,드라마,3.1,3.0
위험한 관계,드라마,3.6,3.5
트레인스포팅,드라마,3.9,3.5
지상만가,드라마,2.4,2.0
쁘아종,드라마,2.0,2.0
초록물고기,범죄,3.6,3.5
조강지처 클럽,코미디,3.2,3.0
"서울, 에비타",로맨스,2.2,2.0
에비타,음악,3.2,3.0
댓 씽 유 두,음악,3.5,3.5
월레스와 그로밋 - 걸작선,애니메이션,4.0,3.5
불새,로맨스,2.5,2.0
스핏파이어 그릴,드라마,3.4,3.0
데블스 오운,액션,3.0,3.0
홀리데이 인 서울,로맨스,2.0,1.5
언더그라운드,드라마,4.0,3.5
돌리벨을 아시나요,로맨틱코미디,3.4,3.0
아빠는 출장 중,드라마,3.6,3.5
시간은 오래 지속된다,한국,3.0,3.0
광란의 시간,스릴러,2.9,2.5
48시간 2,액션,3.0,3.0
48시간,액션,3.2,3.0
집시의 시간,드라마,4.1,4.0
시간의 춤,다큐멘터리,2.8,2.5
라빠르망,드라마,3.7,3.5
패자부활전,로맨틱코미디,2.3,2.0
죽어야 사는 여자,판타지,3.3,3.0
리얼 맥코이,액션,2.9,2.5
잉글리쉬맨,로맨틱코미디,3.1,3.0
잉글리쉬 페이션트,로맨스,3.6,3.5
로켓트는 발사됐다,한국,1.7,1.5
똑바로 살아라,범죄,2.3,2.0
똑바로 살아라,범죄,3.6,3.5
소녀소어,드라마,3.2,3.0
닥터 T,로맨틱코미디,2.6,2.5
닥터 기글,스릴러,2.8,2.5
오랜 친구,미국,3.2,3.0
룸메이트,드라마,3.2,3.0
필링 미네소타,로맨스,2.8,2.5
프랭키 더 플라이,코미디,2.6,2.5
지존계상,범죄,2.9,2.5
도신 - 정전자,액션,3.7,3.5
지존무상,액션,3.6,3.5
용병 이반,액션,1.6,1.5
줄리언 돈키보이,드라마,3.7,3.5
미스타 몬스터,범죄,3.5,3.5
미스터 콘돔,코미디,1.9,1.5
미스터 맘마,코미디,2.7,2.5
미스터 소크라테스,범죄,3.3,3.0
박대박,코미디,2.2,2.0
바리케이드,한국,2.9,2.5
머홀랜드 폴스,드라마,3.0,3.0
폴링 다운,액션,3.1,3.0
오디션,코미디,2.9,2.5
오디션,공포,3.3,3.0
바운드,범죄,3.5,3.0
더스트,드라마,3.4,3.0
클럽 싱글즈,로맨틱코미디,3.3,3.0
유령수업,코미디,3.6,3.5
에드 우드,코미디,3.6,3.5
쥐잡이,드라마,3.9,3.5
열정,로맨스,3.2,3.0
넝쿨 장미,드라마,3.2,3.0
피위의 대모험,코미디,3.3,3.0
블랙아웃,스릴러,2.6,2.5
조찬 클럽,드라마,3.4,3.0
죠지 왕의 광기,드라마,3.3,3.0
서울역,애니메이션,2.9,2.5
앱솔루트 파워,스릴러,3.2,3.0
산부인과,드라마,2.1,2.0
숏컷,코미디,3.8,3.5
바탈리언,SF,3.3,3.0
누가 로져 래빗을 모함했나,애니메이션,3.3,3.0
최종 분석,로맨스,3.0,3.0
햄릿,드라마,3.5,3.0
슈퍼맨 2,액션,3.4,3.0
페노메논,드라마,3.3,3.0
스타게이트,액션,3.5,3.0
007 리빙 데이라이트,액션,3.3,3.0
007 골든 아이,액션,3.4,3.0
볼레로,드라마,2.3,2.0
리애니메이터,공포,3.3,3.0
클리프행어,액션,3.7,3.5
발토,애니메이션,3.7,3.5
레릭,공포,2.8,2.5
3인조,액션,2.5,2.5
멀티플리시티,판타지,2.7,2.5
어머니와 아들,드라마,4.0,3.5
몰로취,드라마,3.6,3.5
태양,드라마,3.8,3.5
아버지와 아들,드라마,3.5,3.0
신부의 아버지,로맨스,3.1,3.0
아버지,드라마,3.1,3.0
트윈 픽스,드라마,3.6,3.5
엘리펀트 맨,드라마,3.7,3.5
이레이저 헤드,공포,3.5,3.5
로스트 하이웨이,스릴러,3.7,3.5
그는 나에게 지타를 아느냐고 물었다,로맨스,2.2,2.0
세인트,로맨스,3.3,3.0
백비트,드라마,3.2,3.0
토토의 천국,코미디,3.7,3.5
디디에,코미디,2.7,2.5
망각의 삶,드라마,3.9,3.5
아기 자기 파파,로맨틱코미디,2.9,2.5
아기공룡 둘리 - 얼음별 대모험,코미디,3.7,3.5
언지프,다큐멘터리,3.2,3.0
베이비 세일,코미디,2.1,2.0
송가황조,드라마,3.4,3.0
란제리,코미디,2.8,2.5
워커홀릭,로맨틱코미디,2.4,2.0
에로띠끄,드라마,3.1,3.0
전사 라이안,애니메이션,2.5,2.0
전사의 후예,드라마,3.3,3.0
흑사회 2,범죄,3.6,3.5
흑사회,범죄,3.5,3.0
커튼 클럽,범죄,3.2,3.0
라디오 데이즈,코미디,3.4,3.0
아트 오브 워,액션,3.0,2.5
마제스틱,로맨스,3.4,3.0
챔프,스포츠,3.5,3.0
휴전,드라마,3.3,3.0
화성인 지구 정복,스릴러,3.4,3.0
나의 사촌 비니,코미디,3.4,3.0
샤도우,판타지,2.8,2.5
추락하는 것은 날개가 있다,로맨스,2.7,2.5
라스베가스의 공포와 혐오,코미디,3.3,3.0
미시시피 버닝,미국,3.5,3.0
비버리 힐스 캅 2,액션,3.1,3.0
슬리퍼스,범죄,3.4,3.0
탈옥,액션,3.1,3.0
총잡이,코미디,2.2,2.0
버닝,공포,2.7,2.5
취권,액션,3.7,3.5
사형도수,액션,3.4,3.0
금강혈인,액션,3.0,3.0
오복성,액션,3.5,3.5
쾌찬차,액션,3.6,3.5
복성고조,액션,3.0,2.5
용적심,액션,3.3,3.0
쌍룡회,액션,3.3,3.0
중안조,액션,3.2,3.0
홍번구,액션,3.4,3.0
성룡의 썬더볼트,액션,3.2,3.0
나이스 가이,액션,3.1,3.0
사제출마,액션,3.3,3.0
소권괴초,코미디,3.4,3.0
용소야,액션,3.2,3.0
프로텍터,액션,3.0,2.5
프로젝트 A,액션,3.7,3.5
용형호제,액션,3.7,3.5
프로젝트A 2 : A계획 속집,액션,3.6,3.5
성룡의 CIA,액션,3.5,3.0
성룡의 살수호,액션,3.0,2.5
커버넌트,액션,2.4,2.0
엄마는 해결사,액션,2.9,2.5
언터쳐블,범죄,3.8,3.5
스트레인저 댄 픽션,코미디,3.7,3.5
붉은 10월,액션,3.7,3.5
레비아탄,SF,3.0,2.5
용서받지 못한 자,서부극,3.8,3.5
괴물,공포,3.8,3.5
헤라클레스,애니메이션,3.5,3.0
베로니카의 이중 생활,드라마,3.6,3.5
살인에 관한 짧은 필름,범죄,3.7,3.5
에디의 환상 여행,애니메이션,3.4,3.0
에디,코미디,3.0,3.0
할렐루야,코미디,2.9,2.5
표류일기,모험,2.7,2.5
이너스페이스,액션,3.8,3.5
첩혈가두,액션,3.3,3.0
브로큰 애로우,액션,3.3,3.0
주윤발의 첩혈속집,액션,3.4,3.0
종횡사해,로맨스,3.6,3.5
첩혈쌍웅,액션,3.8,3.5
하몽 하몽,코미디,2.8,2.5
달과 꼭지,코미디,3.1,3.0
마틸다,키즈,3.8,3.5
배트맨 포에버,액션,3.0,3.0
배트맨 리턴즈,액션,3.7,3.5
배트맨 앤 로빈,판타지,2.5,2.5
시고니 위버의 진실,드라마,3.5,3.5
달의 애인들,드라마,3.5,3.5
라이어스 문,로맨스,2.8,2.5
라이어 라이어,코미디,3.5,3.5
나쁜 여자들,액션,2.7,2.5
성공시대,드라마,3.1,3.0
경마장 가는 길,드라마,3.1,3.0
화엄경,판타지,2.9,2.5
너에게 나를 보낸다,로맨스,2.6,2.5
나쁜 영화,다큐멘터리,2.4,2.0
나쁜 피,범죄,3.8,3.5
세 친구,드라마,3.5,3.5
클로즈 업,드라마,4.2,4.0
텐,드라마,4.0,4.0
쉬린,드라마,3.4,3.0
올리브 나무 사이로,드라마,3.8,3.5
내 친구의 집은 어디인가,드라마,3.8,3.5
드럭스토어 카우보이,드라마,3.5,3.0
카우걸 블루스,로맨틱코미디,2.9,2.5
아이다호,드라마,3.7,3.5
하얀 궁전,드라마,3.4,3.0
투 다이 포,코미디,3.2,3.0
소피의 선택,로맨스,3.6,3.5
어느 멋진 순간,로맨스,3.5,3.0
북회귀선,드라마,3.0,2.5
에이미와 야구아,로맨스,3.8,3.5
로렌조의 밤,드라마,2.7,2.5
주피터 어센딩,액션,2.4,2.0
신경쇠약 직전의 여자,코미디,3.5,3.0
야수의 날,액션,3.5,3.5
포룸,스릴러,3.3,3.0
시크릿 윈도우,미스터리,3.1,3.0
저수지의 개들,범죄,3.9,3.5
인턴,드라마,3.9,3.5
완다라는 이름의 물고기,범죄,3.3,3.0
용호풍운 디 오리지널,범죄,3.1,3.0
파니 핑크,드라마,3.8,3.5
엘 마리아치,서부극,3.4,3.0
현상수배,범죄,2.2,2.0
만다라,드라마,3.7,3.5
아벤고 공수 군단,한국,2.9,2.5
길소뜸,드라마,3.5,3.0
티켓,드라마,3.4,3.0
씨받이,드라마,3.0,2.5
아제 아제 바라아제,드라마,3.2,3.0
개벽,드라마,3.2,3.0
태백산맥,전쟁,3.1,3.0
축제,드라마,3.3,3.0
창,드라마,2.8,2.5
안개는 여자처럼 속삭인다,한국,3.0,2.5
하얀 전쟁,전쟁,3.1,3.0
헐리우드 키드의 생애,드라마,3.2,3.0
블랙잭,미스터리,2.2,2.0
귀를 기울이면,틴에이저,3.8,3.5
마이티 조 영,판타지,3.0,2.5
더블 해피니스,드라마,3.1,3.0
더블 반담,액션,2.7,2.5
더블 팀,액션,2.5,2.5
컨스피러시,공포,3.6,3.5
몰래츠,로맨틱코미디,3.3,3.0
버디,드라마,3.6,3.5
프리실라,코미디,3.6,3.5
카우치 인 뉴욕,로맨틱코미디,3.0,2.5
뉴욕 광시곡,다큐멘터리,3.4,3.0
이스케이프 프롬 뉴욕,SF,3.2,3.0
조이 럭 클럽,로맨스,3.6,3.5
스모크,코미디,3.8,3.5
차이니즈 박스,드라마,2.9,2.5
뮤직 박스,범죄,3.8,3.5
야생동물 보호구역,드라마,2.7,2.5
시간,드라마,3.2,3.0
악어,드라마,3.2,3.0
모텔 선인장,로맨스,2.4,2.0
해상화,대만,3.7,3.5
동년왕사,드라마,3.9,3.5
호남호녀,로맨스,3.8,3.5
희몽인생,전쟁,3.7,3.5
연연풍진,드라마,4.0,3.5
남국재견,드라마,3.9,3.5
동동의 여름방학,드라마,3.9,3.5
비정성시,드라마,4.0,3.5
카페 뤼미에르,드라마,3.5,3.0
빨간 풍선,드라마,3.5,3.5
"바람의 검, 신선조",시대극,3.1,3.0
바람계곡의 나우시카,애니메이션,4.0,3.5
바람의 파이터,드라마,3.2,3.0
지. 아이. 제인,액션,3.2,3.0
비커밍 제인,드라마,3.7,3.5
억수탕,코미디,2.3,2.0
초보 영웅 컵스,액션,2.8,2.5
아편 전쟁,액션,3.0,3.0
바브 와이어,액션,1.6,1.5
미미와 철수의 청춘 스케치,로맨틱코미디,2.9,2.5
청춘 스케치,코미디,3.7,3.5
성난 황소,스포츠,3.9,3.5
특근,스릴러,3.9,3.5
좋은 친구들,드라마,4.0,4.0
케이프 피어,공포,3.5,3.0
그리스도 최후의 유혹,캐나다,3.4,3.0
셔터 아일랜드,미스터리,3.9,3.5
프리시디오,액션,2.6,2.5
코미디의 왕,드라마,4.0,3.5
러닝맨,코미디,3.0,2.5
매드니스,공포,3.6,3.5
트윈스,액션,3.2,3.0
마빈의 방,드라마,3.3,3.0
알비노 앨리게이터,드라마,3.0,2.5
황토지,드라마,3.5,3.5
아이들의 왕,드라마,3.6,3.5
무극,판타지,2.2,2.0
풍월,드라마,3.1,3.0
파더스 데이,드라마,2.8,2.5
크루서블,드라마,3.5,3.0
스토리텔링,드라마,3.4,3.0
해피니스,드라마,3.8,3.5
팰린드롬,드라마,3.6,3.5
인형의 집으로 오세요,드라마,3.7,3.5
이벤트 호라이즌,공포,3.5,3.5
안나 카레니나,로맨스,3.3,3.0
머더 1600,액션,2.8,2.5
캐링턴,로맨스,3.2,3.0
신투첩영,액션,2.8,2.5
스타쉽 트루퍼스,코미디,3.6,3.5
나의 왼발,드라마,3.7,3.5
메인 이벤트,코미디,2.9,2.5
고릴라,액션,2.6,2.5
매버릭,서부극,3.2,3.0
덴버,드라마,3.0,3.0
크라잉 프리맨,스릴러,2.8,2.5
크라잉 게임,범죄,3.4,3.0
투 크라임,드라마,2.1,2.0
크라임 오브 하트,드라마,3.2,3.0
크라임 오브 패션,로맨스,2.4,2.0
크라임웨이브,미국,3.3,3.0
셜리에 관한 모든 것,다큐멘터리,2.9,2.5
일팔일팔,코미디,1.5,1.0
떼시스,스릴러,3.5,3.0
늑대의 시간,드라마,3.5,3.0
미지의 코드,드라마,3.5,3.5
베니의 비디오,드라마,3.7,3.5
퍼니 게임,범죄,3.5,3.5
키스의 전주곡,로맨스,2.9,2.5
키스 더 걸,범죄,3.0,3.0
첫 키스만 50번째,로맨스,3.7,3.5
아리조나 유괴 사건,코미디,3.6,3.5
블러드 심플,범죄,3.7,3.5
바톤 핑크,코미디,3.7,3.5
허드서커 대리인,판타지,3.5,3.5
위대한 레보스키,코미디,3.7,3.5
파고,범죄,3.9,3.5
밀러스 크로싱,스릴러,3.8,3.5
크로싱 가드,드라마,2.9,2.5
크로싱,드라마,3.2,3.0
쇼킹 아시아 2,다큐멘터리,2.0,1.5
머니 핏,미국,3.0,2.5
머니 트레인,액션,2.8,2.5
머니 토크,액션,2.8,2.5
피스톨 오페라,액션,3.3,3.0
피스메이커,액션,3.2,3.0
증오,드라마,3.9,3.5
적도의 꽃,드라마,3.1,3.0
비밀의 꽃,드라마,3.5,3.0
무궁화 꽃이 피었습니다,드라마,2.1,2.0
꽃잎,드라마,3.0,3.0
악의 꽃,로맨스,3.1,3.0
나이트메어 7: 뉴 나이트메어,판타지,3.0,3.0
나이트메어 2: 프레디의 복수,공포,3.0,2.5
나이트메어,공포,3.4,3.0
뽀네뜨,드라마,3.4,3.0
돈 크라이 마미,드라마,3.0,3.0
바람과 모래,드라마,3.5,3.0
철서구 2부 - 폐허,다큐멘터리,4.4,4.0
철서구 3부 - 철로,다큐멘터리,4.3,4.0
철서구 1부 - 녹,다큐멘터리,4.3,4.0
광기가 우리를 갈라놓을 때까지,다큐멘터리,4.1,4.0
더 월,드라마,3.5,3.0
깊은 슬픔,로맨스,2.4,2.0
가슴에 돋는 칼로 슬픔을 자르고,드라마,2.9,2.5
사랑과 슬픔의 볼레로,드라마,3.7,3.5
K.K 훼미리 리스트,액션,1.9,1.5
대병소장,액션,3.0,2.5
진송,드라마,3.5,3.5
올가미,스릴러,3.0,2.5
장례식,일본,3.7,3.5
담뽀뽀,드라마,3.6,3.5
마루사의 여자,범죄,3.5,3.0
두 여인,드라마,3.5,3.5
갇힌 여인,드라마,3.4,3.0
마리아와 여인숙,성인,2.2,2.0
이웃집 여인,로맨스,3.5,3.0
또다른 여인,드라마,3.5,3.5
여인사십,드라마,3.6,3.5
여인 잔혹사 물레야 물레야,드라마,3.2,3.0
객도추한,대만,3.4,3.0
완령옥,로맨스,3.7,3.5
헨리: 연쇄살인범의 초상,범죄,3.3,3.0
젊은 날의 초상,드라마,3.1,3.0
여인의 초상,드라마,3.1,3.0
블러드 앤 와인,액션,2.8,2.5
브레이크다운,액션,3.4,3.0
마누라 죽이기,코미디,2.9,2.5
코난—바바리안,액션,3.1,3.0
밤 그리고 도시,드라마,3.0,2.5
브레드레스,로맨스,3.2,3.0
마일스,음악,3.2,3.0
국가대표2,드라마,3.2,3.0
터널,드라마,3.6,3.5
비거 스플래쉬,드라마,3.2,3.0
덕혜옹주,시대극,3.4,3.0
수어사이드 스쿼드,SF,2.8,2.5
태풍이 지나가고,코미디,3.8,3.5
인천상륙작전,전쟁,2.8,2.5
제이슨 본,액션,3.6,3.5
부산행,액션,3.8,3.5
데몰리션,드라마,3.7,3.5
에브리바디 원츠 썸!!,코미디,3.3,3.0
환상의 빛,드라마,3.7,3.5
도리를 찾아서,애니메이션,3.7,3.5
사냥,액션,1.8,1.5
인디펜던스 데이: 리써전스,액션,2.7,2.5
비밀은 없다,스릴러,3.3,3.0
우리들,드라마,4.0,4.0
특별수사: 사형수의 편지,범죄,3.1,3.0
백엔의 사랑,드라마,3.6,3.5
정글북,모험,3.4,3.0
본 투 비 블루,드라마,3.8,3.5
초인,로맨스,3.1,3.0
아가씨,시대극,3.8,3.5
엑스맨: 아포칼립스,SF,3.4,3.0
싱 스트리트,드라마,3.9,3.5
사돈의 팔촌,드라마,3.1,3.0
클랜,스릴러,3.4,3.0
곡성(哭聲),미스터리,3.9,3.5
4등,스포츠,3.7,3.5
캡틴 아메리카: 시빌 워,액션,3.9,3.5
브루클린,드라마,3.8,3.5
시간이탈자,스릴러,3.1,3.0
주토피아,모험,4.2,4.0
해어화,드라마,3.2,3.0
러시 : 더 라이벌,드라마,3.6,3.5
스틸 플라워,드라마,3.0,2.5
배트맨 대 슈퍼맨: 저스티스의 시작,판타지,2.8,2.5
아노말리사,드라마,3.7,3.5
너는 착한 아이,드라마,3.6,3.5
"헤일, 시저!",코미디,3.4,3.0
조이,드라마,3.2,3.0
굿바이 버클리,드라마,2.7,2.5
갓 오브 이집트,액션,2.9,2.5
룸,드라마,3.8,3.5
귀향,전쟁,3.8,3.5
사울의 아들,드라마,3.8,3.5
스포트라이트,드라마,4.0,4.0
데드풀,액션,3.8,3.5
동주,드라마,3.9,3.5
대니쉬 걸,드라마,3.8,3.5
검사외전,드라마,3.6,3.5
자객 섭은낭,드라마,3.3,3.0
쿵푸팬더 3,판타지,3.4,3.0
개를 훔치는 완벽한 방법,코미디,3.5,3.0
가족 시네마,드라마,3.1,3.0
가족시네마,드라마,3.1,3.0
아버지의 초상,드라마,3.4,3.0
스티브 잡스,드라마,3.3,3.0
캐롤,드라마,4.0,4.0
빅쇼트,드라마,3.8,3.5
레버넌트: 죽음에서 돌아온 자,액션,3.7,3.5
헤이트풀8,범죄,3.8,3.5
유스,코미디,3.6,3.5
에브리띵 윌 비 파인,드라마,2.7,2.5
조선마술사,드라마,2.4,2.0
바닷마을 다이어리,가족,3.8,3.5
스타워즈: 깨어난 포스,액션,3.6,3.5
레전드,범죄,3.1,3.0
히말라야,드라마,3.5,3.0
대호,역사,3.0,3.0
미스트리스 아메리카,코미디,3.6,3.5
하트 오브 더 씨,액션,3.3,3.0
맥베스,드라마,3.5,3.0
트립 투 잉글랜드,코미디,3.0,3.0
시카리오: 암살자의 도시,액션,3.8,3.5
괴물의 아이,판타지,3.8,3.5
당신의 세상은 지금 몇 시?,로맨스,3.1,3.0
내부자들,범죄,4.0,4.0
007 스펙터,모험,3.1,3.0
검은 사제들,스릴러,3.6,3.5
와즈다,코미디,3.8,3.5
스파이 브릿지,드라마,3.7,3.5
더 기프트,드라마,3.2,3.0
더 랍스터,코미디,3.7,3.5
더 폰,범죄,3.3,3.0
하늘을 걷는 남자,모험,3.5,3.0
디판,범죄,3.4,3.0
백 투 더 퓨쳐 3,판타지,3.9,3.5
빽 투 더 퓨쳐 2,코미디,3.9,3.5
빽 투 더 퓨쳐,모험,4.0,3.5
리그레션,범죄,2.6,2.5
더 비지트,코미디,3.0,3.0
라이프,드라마,3.2,3.0
스테이션 에이전트,드라마,3.3,3.0
더 홈즈맨,드라마,3.4,3.0
슬로우 웨스트,액션,3.6,3.5
탐정 : 더 비기닝,스릴러,3.4,3.0
서부전선,드라마,2.7,2.5
지금은맞고그때는틀리다,드라마,3.4,3.0
메이즈 러너: 스코치 트라이얼,액션,3.5,3.0
마션,모험,3.9,3.5
사도,시대극,3.7,3.5
사도,미국,3.1,3.0
앙: 단팥 인생 이야기,드라마,3.6,3.5
피케이: 별에서 온 얼간이,코미디,3.7,3.5
뷰티 인사이드,로맨스,3.9,3.5
침묵의 시선,다큐멘터리,3.9,3.5
이민자,드라마,3.6,3.5
판타스틱 4,액션,2.6,2.5
판타스틱 4,액션,3.2,3.0
라스트 도그맨,미국,3.1,3.0
라스트 맨 스탠딩,액션,3.1,3.0
라스트 라이프 라스트 러브,드라마,2.9,2.5
피의 결혼식,스페인,3.6,3.5
박물관이 살아있다 2,모험,3.3,3.0
위즈덤,드라마,2.7,2.5
리브 앤 다이,액션,3.4,3.0
베이브,스포츠,3.2,3.0
메피스토,드라마,3.7,3.5
앤트원 피셔,드라마,3.6,3.5
모베터 블루스,드라마,3.5,3.5
스피드 2,액션,2.6,2.5
사고친 후에,로맨스,3.1,3.0
케이블 가이,코미디,2.9,2.5
코브라,액션,2.9,2.5
007 뷰 투 어 킬,액션,3.4,3.0
록키 2,액션,3.6,3.5
꿈의 구장,스포츠,3.4,3.0
프라이트너,공포,3.4,3.0
데드 얼라이브,공포,3.4,3.0
드라큐라,공포,3.6,3.5
말리와 나,드라마,3.3,3.0
헬레이져,공포,3.3,3.0
말콤 X,드라마,3.4,3.0
까미유 끌로델,드라마,3.4,3.0
로빈슨 크루소,모험,2.7,2.5
럭키 브레이크,로맨틱코미디,1.9,1.5
검으나 땅에 희나 백성,한국,3.8,3.5
투 러버스,드라마,3.4,3.0
위 오운 더 나잇,범죄,3.2,3.0
비열한 거리,드라마,3.4,3.0
미라클 벨리에,코미디,3.6,3.5
미니언즈,애니메이션,3.5,3.0
블러바드,드라마,3.2,3.0
위로공단,다큐멘터리,3.7,3.5
나의 어머니,드라마,3.4,3.0
101번째 프로포즈,로맨스,2.9,2.5
"협녀, 칼의 기억",액션,2.3,2.0
언두,드라마,3.4,3.0
"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",로맨스,3.5,3.5
이완 맥그리거의 인질,로맨스,3.3,3.0
러브 앤 샤도우,드라마,2.3,2.0
피오릴레,드라마,3.4,3.0
프리잭,액션,3.1,3.0
오씨,판타지,3.3,3.0
내셔널 시큐리티,액션,3.1,3.0
파 앤드 어웨이,모험,3.7,3.5
설득,로맨스,3.5,3.5
007 살인 면허,액션,3.3,3.0
어느 어머니 아들,아일랜드,3.1,3.0
사선에서,액션,3.6,3.5
베로니카 게린,드라마,3.1,3.0
엑스칼리버,판타지,3.4,3.0
플루토에서 아침을,코미디,3.7,3.5
마르셀의 추억,가족,3.8,3.5
단짝 친구들,로맨스,3.2,3.0
마르셀의 여름,드라마,3.7,3.5
헝거,드라마,3.7,3.5
8월의 광시곡,전쟁,2.5,2.0
못말리는 람보,코미디,3.1,3.0
빈,코미디,3.5,3.0
네번의 결혼식과 한번의 장례식,로맨틱코미디,3.4,3.0
트렁크 속의 연인들,액션,3.2,3.0
닐 바이 마우스,프랑스,3.5,3.0
낫씽 투 루즈,액션,3.1,3.0
체리향기,드라마,3.8,3.5
천녀유혼,애니메이션,3.6,3.5
두 여자 이야기,드라마,3.0,3.0
헨리의 이야기,드라마,3.3,3.0
죽이는 이야기,코미디,2.1,2.0
우리가 들려줄 이야기,다큐멘터리,3.6,3.5
결혼 이야기 2,로맨틱코미디,2.0,2.0
귀주 이야기,드라마,3.5,3.5
결혼 이야기,로맨틱코미디,2.8,2.5
가베,드라마,3.5,3.0
파이어라이트,로맨스,3.2,3.0
첫사랑,드라마,3.3,3.0
첫사랑,로맨틱코미디,3.4,3.0
이방인,한국,2.7,2.5
로즈 앤 그레고리,로맨스,3.2,3.0
