제목,장르,총 평점,유저 평점
칠드런 액트,드라마,3.5,3.5
13년의 공백,코미디,3.1,3.0
한낮의 피크닉,드라마,3.1,3.0
마담 싸이코,드라마,2.9,2.5
비스트,액션,2.1,2.0
스트롱거,드라마,3.3,3.0
노스탤지아,드라마,4.0,4.0
희생,드라마,4.0,3.5
토이 스토리 4,애니메이션,3.9,3.5
행복한 라짜로,드라마,3.8,3.5
해피엔드,드라마,3.4,3.0
맨 인 블랙: 인터내셔널,액션,2.6,2.5
체 게바라: 2부 게릴라,드라마,3.5,3.0
체 게바라: 1부 아르헨티나,드라마,3.6,3.5
엑스맨: 다크 피닉스,모험,2.7,2.5
하나레이 베이,드라마,3.1,3.0
기생충,드라마,4.3,4.0
고질라: 킹 오브 몬스터,액션,2.7,2.5
김군,다큐멘터리,3.8,3.5
알라딘,모험,3.9,3.5
돈키호테를 죽인 사나이,모험,3.2,3.0
피부 깊숙이,코미디,2.6,2.5
미트 더 피블스,애니메이션,3.5,3.5
피블의 모험,애니메이션,3.7,3.5
피츠카랄도,드라마,3.8,3.5
피고인,드라마,3.5,3.0
그들이 진심으로 엮을 때,드라마,3.7,3.5
서스페리아,판타지,3.4,3.0
논-픽션,코미디,3.4,3.0
벤 이즈 백,드라마,3.3,3.0
라플라스의 마녀,드라마,2.8,2.5
걸캅스,코미디,3.4,3.0
굿바이 마이 러브 엔 케이: 붉은 청춘,다큐멘터리,3.3,3.0
어벤져스: 엔드게임,액션,4.2,4.0
러브리스,드라마,3.6,3.5
스탈린이 죽었다!,코미디,3.7,3.5
퍼스트 리폼드,드라마,3.6,3.5
미성년,드라마,3.7,3.5
헬보이,액션,2.8,2.5
바이스,코미디,3.7,3.5
생일,드라마,3.5,3.5
샤잠!,판타지,2.7,2.5
파도치는 땅,드라마,2.8,2.5
예수보다 낯선,드라마,2.8,2.5
미스 코뿔소 미스타 코란도,액션,1.7,1.5
과부춤,드라마,3.1,3.0
이장호의 외인구단 2,스포츠,2.3,2.0
깜동,드라마,2.3,2.0
백치 애인,로맨스,2.4,2.0
잃어버린 너,로맨스,2.6,2.5
있잖아요 비밀이에요,드라마,2.7,2.5
엄마에게 애인이 생겼어요!,로맨틱코미디,2.3,2.0
개같은 날의 오후,코미디,3.4,3.0
화녀 '82,드라마,3.5,3.5
시라소니,액션,2.5,2.5
김의 전쟁,드라마,2.6,2.5
피와 불,스릴러,2.3,2.0
은마는 오지 않는다,드라마,3.1,3.0
아그네스를 위하여,로맨스,2.1,2.0
사의 찬미,드라마,2.7,2.5
낙타는 따로 울지 않는다,드라마,2.4,2.0
파업전야,드라마,3.7,3.5
꼴찌부터 일등까지 우리반을 찾습니다,드라마,2.8,2.5
그래 가끔 하늘을 보자,드라마,2.7,2.5
달마가 동쪽으로 간 까닭은?,드라마,3.2,3.0
구로 아리랑,드라마,2.9,2.5
장남,드라마,3.5,3.0
업,한국,3.3,3.0
청송으로 가는 길,한국,3.1,3.0
