code,title,year,genres,ratings_avg
m5nQ4Dd,라이온 킹,1994,"['애니메이션', '모험', '드라마', '가족', '액션', '키즈']",4.1
md6k3q5,토이 스토리 3,2010,"['애니메이션', '코미디', '가족', '판타지', '모험', '키즈']",4.1
mOoMKP5,사형수 탈출하다,1956,"['드라마', '스릴러']",4.1
mdEwAR2,인사이드 아웃,2015,"['코미디', '가족', '드라마', '판타지', '애니메이션', '모험']",4.1
m2dj3a5,타인의 삶,2006,"['스릴러', '드라마']",4.0
mOgBGMW,업,2009,"['드라마', '애니메이션', '가족', '코미디', '모험']",4.1
mE5DMQW,줄무늬 파자마를 입은 소년,2008,"['드라마', '전쟁']",4.1
mmObXa5,노스탤지아,1983,['드라마'],4.0
m5xJZE3,스포트라이트,2015,"['드라마', '스릴러']",4.0
m53ErjO,란,1985,"['전쟁', '드라마']",4.1
m5DGQDQ,어벤져스: 인피니티 워,2018,"['액션', '모험', 'SF']",4.1
mO2MoxW,선라이즈,1927,['로맨스'],4.1
m5nQ7nd,데어 윌 비 블러드,2007,['드라마'],4.1
mP5mPzd,반지의 제왕 : 반지 원정대,2001,"['판타지', '드라마', '액션', '모험']",4.1
mDWvped,뻐꾸기 둥지 위로 날아간 새,1975,"['범죄', '드라마']",4.1
mV533q5,피아니스트의 전설,1998,"['드라마', '음악', '판타지']",4.0
mObBeDz,러브 유어셀프 인 서울,2019,"['다큐멘터리', '음악', '공연실황']",4.0
mJ5xpq5,토이 스토리,1995,"['애니메이션', '모험', '코미디', '가족', '판타지', '드라마', '키즈']",4.1
mOl4lMe,루스 베이더 긴즈버그: 나는 반대한다,2018,['다큐멘터리'],4.2
mOPpNlO,비긴 어게인,2013,"['코미디', '드라마', '음악', '로맨스']",4.1
m5YKZzw,포드 V 페라리,2019,"['액션', '드라마']",4.0
m5mZb3W,바비를 위한 기도,2009,['드라마'],4.0
mOgBMZM,당갈,2016,"['드라마', '스포츠']",4.0
md7aAkW,스타 워즈 - 스페셜 에디션,1997,['액션'],4.1
m5aKnlO,아들,2002,"['가족', '드라마']",4.1
mMO2JAO,메멘토,2000,"['미스터리', '스릴러']",4.1
mVWzgZO,사운드 오브 뮤직,1965,"['드라마', '가족', '로맨스']",4.1
m5aVYXQ,언록킹 셜록,2014,['다큐멘터리'],4.1
mM5rwDW,세븐,1995,"['스릴러', '범죄']",4.1
m6dRVyd,터미네이터 2,1991,"['액션', 'SF']",4.1
mO2ebkW,카메라맨,1928,"['로맨스', '코미디', '가족']",4.1
md7MP8W,퀸 락 몬트리올,2007,"['음악', '다큐멘터리']",4.1
md76JgM,미스 슬로운,2016,"['스릴러', '드라마']",4.1
mW93wld,플레이타임,1967,['코미디'],4.0
mmOb3kd,해리포터와 마법사의 돌,2001,"['판타지', '가족', '모험']",4.1
mOAZxQd,테이큰,2008,"['드라마', '액션', '범죄', '스릴러']",4.0
mO1VPPV,로건,2017,"['액션', '드라마', 'SF', '스릴러']",4.0
mWqJboK,히든 피겨스,2016,"['역사', '드라마']",4.0
mOlwgjg,조조 래빗,2019,"['코미디', '드라마', '전쟁']",4.0
mgdMNw5,비포 선라이즈,1995,"['로맨스', '드라마']",4.1
mOgBrY9,빌리 엘리어트 뮤지컬 라이브,2014,"['코미디', '드라마', '음악', '공연실황']",4.1
mWvkXvZ,코코,2017,"['애니메이션', '모험', '가족', '판타지', '음악', '미스터리', '코미디', '스릴러']",4.0
mM5rBJ5,서유기 2 - 선리기연,1994,"['코미디', '판타지']",4.1
mOgDkMd,언터처블: 1%의 우정,2011,"['코미디', '드라마']",4.0
m5XV8LO,토이 스토리 4,2019,"['애니메이션', '가족', '판타지', '모험', '코미디']",3.9
m45nnY5,월-E,2008,"['가족', '모험', '코미디', 'SF', '애니메이션', '키즈']",4.1
mWzVYBW,매드맥스: 분노의 도로,2015,"['액션', '모험', 'SF', '스릴러']",4.1
mOo01Ld,양들의 침묵,1991,"['드라마', '범죄', '공포', '스릴러']",4.0
m5ZXDlO,노킹 온 헤븐스 도어,1997,"['범죄', '액션', '드라마', '코미디']",3.9
m5nQKYy,쓰리 빌보드,2017,"['범죄', '드라마']",4.0
mYdEnE5,캐치 미 이프 유 캔,2002,"['범죄', '드라마', '코미디']",4.1
m5roj3W,희생,1986,['드라마'],4.0
mnWJ1n5,모노노케 히메,1997,"['애니메이션', '판타지', '액션', '모험']",4.0
m5Qj0JW,그을린 사랑,2010,"['드라마', '미스터리', '전쟁']",4.0
