title,content_type,ratings_avg,movie_code
레이더스,movies,4.0,mXOgzYW
거울,movies,4.0,mdjDGlW
빽 투 더 퓨쳐,movies,4.0,mWLjx6d
원스 어폰 어 타임 인 아메리카,movies,4.0,my5Yqj5
바르다가 사랑한 얼굴들,movies,4.0,mW4L9wL
굿바이 마이 프랜드,movies,4.0,mgdMYXd
헤드윅,movies,4.0,mJ5xGBd
허공에의 질주,movies,4.1,mqW9vMO
몸 값,movies,3.9,m533xZ3
노트북,movies,4.0,mJOVBZO
범죄와의 전쟁 : 나쁜놈들 전성시대,movies,4.0,mWv1lb5
영웅본색,movies,3.9,mjO0mLd
보헤미안 랩소디,movies,3.9,mWJyDKM
몬스터 주식회사,movies,4.0,mpWpEvO
우리의 환대,movies,4.0,m5NeARd
대부 3,movies,4.0,mgOA2Vd
윤희에게,movies,4.1,mdR4eyv
에너미 앳 더 게이트,movies,4.0,m6dRQVO
위대한 독재자,movies,4.0,m45nBk5
시티 오브 갓,movies,4.0,mJOV4g5
빠삐용,movies,4.0,mWyRKKO
콜 미 바이 유어 네임,movies,4.0,mW4LNQP
허스토리,movies,4.0,m5rQwwE
프레쉬 과카몰리,movies,4.0,mOk6Zmz
셜록 2세,movies,4.1,mJOVGBd
레인 맨,movies,4.0,mqW9A4W
헬프,movies,4.0,mOAxgjW
브링 더 소울 : 더 무비,movies,3.9,m5Zlvzx
더 록,movies,4.0,mZ5ewKO
천원돌파 그렌라간 극장판 - 홍련편,movies,4.0,mWywgyd
패왕별희,movies,4.0,mJO1awO
화양연화,movies,4.0,my5YK3O
팬텀 스레드,movies,4.0,m5rQw27
슈퍼소닉,movies,3.9,mOAZ7Qa
잠입자,movies,4.0,m5Q3a8O
플립,movies,4.0,mdKBXVO
씨민과 나데르의 별거,movies,4.0,mOgDvAd
캐롤,movies,4.0,mO2lEQ5
구름 조금,movies,4.0,mWLjnLp
걸어도 걸어도,movies,4.0,m5XlpB5
택시운전사,movies,4.0,mdBzP4A
엑스맨: 데이즈 오브 퓨처 패스트,movies,4.0,m5DAkBW
디지몬 어드벤처 1기: 운명적 만남,movies,4.1,mOgBKLA
인어 공주,movies,4.0,mXOgkAO
베테랑,movies,4.0,mObGGj7
"그 시절, 우리가 좋아했던 소녀",movies,4.0,m5xDb35
스타워즈 에피소드 6: 제다이의 귀환,movies,4.0,mOVv6zO
오믈렛,movies,4.0,m5DG9Ye
그리고 삶은 계속된다,movies,3.9,mWJnoLW
스카페이스,movies,4.0,mBOkmE5
언더그라운드,movies,4.0,md7ZNeO
그랜드 부다페스트 호텔,movies,4.0,mWyXDK5
극장판 암살교실: 365일의 시간,movies,4.0,mO0g0yL
사랑은 비를 타고,movies,4.0,mdMgV4W
레미제라블,movies,4.0,mdE09AO
잔 다르크의 수난,movies,4.0,mAd7JBO
로마의 휴일,movies,4.0,mnOojNW
위플래쉬,movies,4.0,mdEw9nb
인생,movies,4.0,m2WyY6W
국외자들,movies,3.9,mdEwDEW
모던 타임즈,movies,4.0,mO1V9wd
먼 훗날 우리,movies,3.9,mdRLEDb
캐스트 어웨이,movies,4.0,m5mx6xd
세상의 모든 계절,movies,4.0,mn5NgpW
라이프 오브 파이,movies,4.0,mOAVmGd
라푼젤,movies,4.0,mW93a1d
중경삼림,movies,4.0,mNdKged
자니 익스프레스,movies,4.0,mOo0AGa
내부자들,movies,4.0,mW4La3e
브레이브하트,movies,4.0,m45neYd
더 폴: 오디어스와 환상의 문,movies,4.0,mdMgjJW
좋은 친구들,movies,4.0,m1Wwo7W
현기증,movies,4.0,mOAmrPO
러브레터,movies,4.0,mQO8b5R
펄프 픽션,movies,4.0,mOgBDaW
가타카,movies,4.0,mwWLpkW
다이 하드,movies,4.0,mdjaQlO
마이너리티 리포트,movies,4.0,mJO1n8d
싸이코,movies,4.0,m5rB0R5
비정성시,movies,4.0,m85X415
스팅,movies,4.0,m533D65
선셋 대로,movies,4.0,mAOlELd
벤허,movies,4.0,mdRLYKW
비포 선셋,movies,4.0,m2WyrYO
프라이멀 피어,movies,4.0,mmObBnO
케빈에 대하여,movies,4.0,m5aMDM5
플로리다 프로젝트,movies,4.0,mWyJK8r
월레스와 그로밋 - 걸작선,movies,4.0,mOo0ePd
나의 소녀시대,movies,4.0,mWyJbEk
서프러제트,movies,4.0,mWpmGpK
중앙역,movies,3.9,mgOAvld
더 페이버릿: 여왕의 여자,movies,3.9,mOgB16n
블라인드 사이드,movies,4.0,mMO2axW
코미디의 왕,movies,4.0,mV53EwO
당나귀 발타자르,movies,4.0,mdjD4rW
방랑자,movies,3.9,mOk3PkO
저수지의 개들,movies,3.9,mWzwmDO
아이 오리진스,movies,4.0,m5xJ4Pr
노팅 힐,movies,4.0,my5Y83d
1917,movies,4.2,m5xw62g
나 홀로 집에,movies,4.0,mQO8YGd
바람,movies,3.9,mLOP7lW
토이 스토리 2,movies,4.0,mNdKwzd
"광해, 왕이 된 남자",movies,4.0,m5mQ9z5
아이언맨 2,movies,4.0,m5eQyz5
라스트 홀리데이,movies,4.0,mWLjwjd
캐리비안의 해적 - 블랙 펄의 저주,movies,4.0,mjO0leO
동주,movies,3.9,mdBzQED
천공의 성 라퓨타,movies,3.9,mBOkwpO
라따뚜이,movies,4.0,mW4LAwW
젤리그,movies,3.9,mOgLV0d
뷰티풀 마인드,movies,3.9,my5YQ5w
캡틴 아메리카: 윈터 솔져,movies,4.0,mWpkJw5
해리포터와 죽음의 성물 2,movies,3.9,mOAD1EW
바스터즈: 거친 녀석들,movies,4.0,mgOA4mW
원피스 : 에피소드 오브 메리 - 또 하나의 동료 이야기,movies,4.0,m5xJQAB
리틀 포레스트 2: 겨울과 봄,movies,4.0,mOl4GK6
그래비티,movies,4.0,mOoyZZ5
암살,movies,4.0,mWyJpxy
써니,movies,4.0,mWvDGZd
미녀와 야수,movies,4.0,m5338w5
노인을 위한 나라는 없다,movies,4.0,m5XMJ1W
내가 널 사랑할 수 없는 10가지 이유,movies,4.0,mVWzLNd
벌새,movies,3.9,m5DGrlR
공각기동대 S.A.C - The Laughing Man,movies,3.9,mOoElL5
그랜마,movies,3.9,mO2MaMQ
아저씨,movies,3.9,m5ZXrxO
