제목,장르,총 평점
슬리핑 뷰티,드라마,2.6
이글 아이,액션,3.3
23 아이덴티티,공포,3.4
싸이코,스릴러,3.5
공각기동대,애니메이션,3.9
맥스군 사랑에 빠지다,로맨틱코미디,3.6
하나,드라마,2.8
백악관 최후의 날,액션,3.0
유령수업,코미디,3.6
청설,드라마,3.8
찰리 윌슨의 전쟁,드라마,2.9
앵그리버드 더 무비,애니메이션,3.1
이 투 마마,드라마,3.3
로얄 테넌바움,코미디,3.8
바톤 핑크,코미디,3.7
고인돌 가족 플린스톤,판타지,3.1
드레스메이커,코미디,3.5
패스트 & 퓨리어스 2,액션,3.7
사보타주,범죄,3.4
공조,액션,3.5
다음 침공은 어디?,코미디,3.7
이상적인 남편,로맨틱코미디,3.1
매기스 플랜,코미디,3.4
"헤일, 시저!",코미디,3.4
러브 스토리,드라마,3.6
줄리에타,드라마,3.6
내일을 위한 시간,드라마,3.8
50가지 그림자: 심연,로맨스,2.6
세 남자와 아기,로맨스,3.1
토이즈,판타지,3.3
슈퍼배드 2:3 미니 무비 컬렉션,영국,3.6
인포먼트,범죄,2.9
황비홍 3 - 사왕쟁패,액션,3.3
오리엔테이션 데이,애니메이션,2.9
홈 메이크오버,애니메이션,3.3
마스터,범죄,3.5
미녀와 야수,가족,3.6
식물도감,로맨스,3.0
황비홍 2 - 남아당자강,액션,3.5
원더풀 라이프,판타지,3.9
아무도 모른다,드라마,4.0
진짜로 일어날지도 몰라 기적,드라마,3.9
사브리나,코미디,3.6
낯선 여인과의 하루,로맨스,3.6
갤럭시 퀘스트,SF,3.4
몬스터 맥스,SF,1.9
그레이트 월,액션,2.4
이창,미스터리,3.9
로건,액션,4.0
세크리터리,코미디,3.2
헤이트 발렌타인데이,로맨틱코미디,2.5
연애의 목적,로맨틱코미디,3.2
환상의 빛,드라마,3.7
파리의 아메리카인,드라마,3.4
천하장사 마돈나,드라마,3.2
아이 엠 어 히어로,액션,3.2
태풍이 지나가고,코미디,3.8
스파이 넥스트 도어,액션,2.9
여교사,드라마,2.5
더 킹,범죄,3.5
이지 버츄,로맨틱코미디,2.8
아워 이디엇 브라더,코미디,3.4
고지라,공포,3.0
히든 피겨스,역사,4.0
컨택트,미스터리,3.9
환상의 발라드,로맨틱코미디,3.1
씽,애니메이션,3.6
앱솔루틀리 애니씽,코미디,3.0
바람이 분다,애니메이션,3.1
"구름의 저편, 약속의 장소",애니메이션,3.5
저주받은 카메라,드라마,3.7
미스 페레그린과 이상한 아이들의 집,모험,3.5
프레지던트 메이커,드라마,3.3
카사블랑카,전쟁,3.8
네메시스,모험,3.1
신 고질라,액션,2.7
다이얼 M을 돌려라,스릴러,3.8
평원의 무법자,서부극,3.7
딥워터 호라이즌,액션,3.3
쉘부르의 우산,드라마,3.7
원챈스,코미디,3.3
현기증,스릴러,4.0
나의 그리스식 웨딩 2,코미디,3.1
나의 그리스식 웨딩,드라마,3.2
죽어야 사는 여자,판타지,3.3
룸,드라마,3.8
존 윅,스릴러,3.6
스타 트렉 9 - 최후의 반격,모험,3.3
"불량소녀, 너를 응원해!",드라마,3.8
파 프롬 헤븐,드라마,3.5
살아있는 시체들의 밤,SF,3.6
"당신, 거기 있어줄래요",판타지,3.6
차이나 문,스릴러,2.9
울프맨,공포,2.4
미술관 옆 동물원,로맨스,3.6
히말라야,드라마,3.5
위험한 독신녀,드라마,3.3
머펫 무비,가족,3.3
장화신은 고양이,애니메이션,3.3
위대한 개츠비,드라마,3.5
바닷마을 다이어리,가족,3.8
트롤,애니메이션,3.4
코렐라인: 비밀의 문,애니메이션,3.8
스쿨 타이,드라마,3.2
해피 피트 2,애니메이션,3.4
라임라이트,드라마,3.9
레지던트 이블 2,액션,3.5
사랑이 이끄는 대로,코미디,3.1
억압받는 다수,드라마,4.0
레지던트 이블,액션,3.7
어바웃 레이,코미디,3.5
스트로베리 쇼트케이크,드라마,3.2
"나, 다니엘 블레이크",드라마,4.1
아기공룡 둘리 - 둘리의 배낭 여행,애니메이션,3.7
The Magic School Bus,애니메이션,3.7
오 형제여 어디 있는가,모험,3.6
패신저스,드라마,3.4
박스트롤,애니메이션,3.6
아티스트,코미디,3.8
너의 이름은.,드라마,3.9
체이싱 아미,로맨틱코미디,3.2
스타 트렉 8 - 퍼스트 콘택트,모험,3.5
블레이드 II,판타지,3.5
좋아해,로맨스,3.2
신비한 동물사전,가족,3.7
걸어도 걸어도,가족,4.0
007 죽느냐 사느냐,액션,3.4
카페 소사이어티,드라마,3.4
페임,드라마,3.5
라우더 댄 밤즈,드라마,3.4
선생님의 일기,로맨스,3.5
선물,애니메이션,3.7
테이킹 플라이트,애니메이션,3.4
슈퍼 리노,애니메이션,2.9
스매쉬드,드라마,3.3
지상의 밤,코미디,4.0
연애담,드라마,3.4
모아나,애니메이션,3.8
우리들,드라마,4.0
캡틴 필립스,드라마,3.6
다가오는 것들,드라마,3.8
비틀즈: 하드 데이즈 나이트,코미디,3.6
"내 어깨 위 고양이, 밥",코미디,3.8
천사의 선택,로맨틱코미디,3.2
세상에서 고양이가 사라진다면,드라마,3.6
007 다이아몬드는 영원히,액션,3.4
긴급 명령,액션,3.3
싱 스트리트,드라마,3.9
쌍화점,시대극,2.8
비틀스: 에잇 데이즈 어 위크 - 투어링 이어즈,다큐멘터리,3.7
스페이스 잼,애니메이션,3.0
"장화, 홍련",공포,3.3
오만과 편견 그리고 좀비,액션,2.7
007 여왕 폐하 대작전,액션,3.3
비밀은 없다,스릴러,3.3
언더 더 스킨,SF,3.1
슈퍼소닉,다큐멘터리,3.9
가려진 시간,드라마,3.3
미씽: 사라진 여자,미스터리,3.5
쥬라기 공원 3,스릴러,3.4
캬바레,전쟁,3.9
핑크 플라밍고,범죄,2.8
프레스티지,드라마,3.8
8명의 여인들,스릴러,3.5
아가씨와 건달들,로맨틱코미디,3.4
워터프론트,드라마,3.6
메이커,애니메이션,3.6
007 살인 면허,액션,3.3
달라스 바이어스 클럽,드라마,3.8
요람을 흔드는 손,드라마,3.5
우리 형,드라마,3.3
우리가 불 속에서 잃어버린 것들,드라마,3.8
서울역,애니메이션,2.9
미니의 19금 일기,드라마,3.4
쥬라기 공원 2: 잃어버린 세계,공포,3.6
러시 : 더 라이벌,드라마,3.6
라일리의 첫번째 데이트?,단편,3.5
"메밀꽃, 운수 좋은 날, 그리고 봄봄",애니메이션,3.4
미스터 노바디,SF,3.7
본 레거시,액션,3.3
솔트,액션,3.3
범죄의 여왕,스릴러,3.4
아더 크리스마스,애니메이션,3.4
해피 피트,애니메이션,3.5
버틀러: 대통령의 집사,드라마,3.6
굿' 바이: Good & Bye,드라마,3.7
4등,스포츠,3.7
"좋은 놈, 나쁜 놈, 이상한 놈",서부극,3.5
명량,전쟁,3.6
아저씨 우리 결혼할까요?,로맨스,2.4
빌리 엘리어트,드라마,4.1
스타 트렉 7 - 넥서스 트렉,모험,3.4
동사서독,드라마,3.6
우리도 사랑일까,코미디,3.8
에브리바디 원츠 썸!!,코미디,3.3
트루스,드라마,3.6
아가씨,시대극,3.8
캣츠,공연실황,3.9
호빗: 다섯 군대 전투,판타지,3.8
헤이트풀8,범죄,3.8
호빗: 스마우그의 폐허,판타지,3.8
캔디,로맨스,3.8
태극기 휘날리며,전쟁,3.8
썸니아,드라마,3.1
로스트 인 더스트,액션,3.8
호빗 : 뜻밖의 여정,판타지,3.7
데쓰 프루프,공포,3.4
민우씨 오는 날,드라마,3.5
아기배달부 스토크,판타지,3.3
캡틴 판타스틱,코미디,3.8
파니 핑크,드라마,3.8
왕과 나,로맨스,3.7
스타 트렉 6 - 미지의 세계,모험,3.5
할로윈,공포,3.3
1984,드라마,3.4
리틀 포레스트 2: 겨울과 봄,드라마,4.0
스타 트랙 5 - 최후의 결전,스릴러,3.2
에시오 트롯: 거북아 거북아,코미디,3.7
나이트 크롤러,범죄,3.7
리틀 포레스트: 여름과 가을,드라마,3.9
팀 아메리카: 세계 경찰,액션,3.2
그것에 관하여,다큐멘터리,3.0
엘리자베스,드라마,3.4
바그다드 카페,드라마,3.9
올가미,스릴러,3.0
이프 아이 스테이,드라마,3.3
아내가 결혼했다,드라마,3.2
라라랜드,코미디,4.1
우리 사랑하는 동안,드라마,3.3
나이트 플라이트,액션,3.2
맬리스 인 원더랜드,드라마,3.0
스타 트렉 3 - 스포크를 찾아서,모험,3.4
블레이드,판타지,3.6
오스틴 파워 - 제로,모험,3.1
워킹 걸,로맨틱코미디,3.2
미녀 삼총사 2 - 맥시멈 스피드,액션,3.3
스타 트렉 2 - 칸의 분노,모험,3.5
미녀와 야수,판타지,3.8
짱구는 못말려 극장판: 정면승부! 로봇아빠의 역습,애니메이션,3.8
딥 임팩트,재난,3.6
나인,드라마,2.9
캐빈 인 더 우즈,공포,3.2
라스트 액션 히어로,액션,3.3
싱글 인 L.A.,로맨스,2.8
형사 가제트,액션,2.7
잃어버린 세계를 찾아서,액션,3.2
스타 트렉,모험,3.6
헤어드레서,드라마,3.2
미스 에이전트 2: 라스베가스 잠입사건,액션,2.8
라스트 데이,드라마,3.3
액트 오브 킬링,다큐멘터리,3.9
라빠르망,드라마,3.7
님은 먼곳에,전쟁,3.1
택시,코미디,3.7
핸콕,액션,3.4
스누피 - 신나는 여행,애니메이션,3.6
오베라는 남자,코미디,3.8
백만장자와 결혼하는 법,로맨틱코미디,3.2
내부자들,범죄,4.0
설리: 허드슨강의 기적,드라마,3.8
원초적 본능 2,스릴러,2.4
립반윙클의 신부,드라마,3.4
마지막 군단,액션,2.5
좋아해줘,로맨스,3.1
동급생,드라마,4.1
나우 유 씨 미 2,액션,3.8
히로인 실격,로맨스,3.4
소시지 파티,판타지,2.9
페이탈 피어,공포,2.9
시리어스 맨,드라마,3.7
굿닥터,드라마,2.9
워터보이즈,스포츠,3.4
눈물이 주룩주룩,드라마,2.8
스위트 룸,범죄,2.9
잃어버린 세계를 찾아서 2 : 신비의 섬,액션,2.9
큐브,드라마,3.7
발몽,드라마,3.1
내니 맥피 - 우리 유모는 마법사,판타지,3.4
위험한 사돈,액션,3.0
걷기왕,드라마,3.2
더 브론즈,코미디,3.5
브리짓 존스의 베이비,드라마,3.6
라이트 아웃,공포,2.9
미스터 캣,코미디,3.2
대지진,재난,2.7
파이퍼,애니메이션,3.9
겟 썸,액션,3.5
닥터 스트레인지,액션,3.9
도리를 찾아서,애니메이션,3.7
보물성,애니메이션,3.4
타워링,재난,3.7
베어풋,로맨틱코미디,3.1
콘택트,SF,4.0
세이빙 MR.뱅크스,가족,3.6
쿠로사키군의 말대로는 되지 않아,로맨스,2.9
수어사이드 스쿼드,SF,2.8
멍하고 혼돈스러운,드라마,3.3
고스트 오브 걸프렌즈 패스트,로맨틱코미디,2.8
맥베스,드라마,3.5
글리터,드라마,2.1
볼케이노,액션,3.5
미 마이셀프 앤드 아이린,코미디,3.4
쥬랜더 리턴즈,코미디,2.3
제로법칙의 비밀,코미디,3.1
쥬랜더,코미디,3.2
로빈 후드,애니메이션,3.6
러시 아워 3,액션,3.4
러시 아워 2,액션,3.4
러시 아워,액션,3.6
늑대 소녀와 흑왕자,로맨스,2.6
캣츠 앤 독스,액션,3.1
내 남자의 아내도 좋아,코미디,3.5
고양이를 빌려드립니다,드라마,3.4
레드: 더 레전드,액션,3.5
폭풍의 언덕,드라마,3.3
메이지가 알고 있었던 일,드라마,3.8
해피 해피 브레드,드라마,3.3
다이버전트 시리즈: 얼리전트,액션,3.3
타미,코미디,2.8
서바이빙 크리스마스,코미디,2.8
디파티드,스릴러,3.7
제이 앤 사일런트 밥,코미디,3.0
점원들,드라마,3.8
마이 시스터즈 키퍼,드라마,3.5
R.I.P.D. : 알.아이.피.디.,액션,2.8
엠파이어 레코드,드라마,3.3
미지와의 조우,드라마,3.6
저지 드레드,액션,3.0
고양이 춤,다큐멘터리,3.7
블루 재스민,드라마,3.8
씬 시티,액션,3.6
닌자터틀 : 어둠의 히어로,SF,2.7
디태치먼트,드라마,3.9
덕혜옹주,시대극,3.4
3:10 투 유마,서부극,3.4
블래스트,코미디,3.5
투 나잇 스탠드,코미디,3.2
거울나라의 앨리스,모험,3.5
선물 가게를 지나야 출구,다큐멘터리,3.9
연가시,드라마,3.0
까밀 리와인드,코미디,3.3
하우 투 루즈 프렌즈,코미디,2.8
미스터 라잇,액션,3.0
브레이킹 던 part2,모험,3.6
브레이킹 던 part1,액션,3.6
정글북,모험,3.4
터널,드라마,3.6
키드,드라마,3.9
샤넬과 스트라빈스키,드라마,3.1
반지의 제왕 : 왕의 귀환,판타지,4.2
반지의 제왕 : 두 개의 탑,판타지,4.1
고스트버스터즈,액션,3.6
사랑도 리콜이 되나요,음악,3.4
라쇼몽,드라마,3.8
북북서로 진로를 돌려라,로맨스,3.8
무간도,액션,4.1
유로트립,코미디,3.0
디올 앤 아이,다큐멘터리,3.7
싸이코,공포,4.0
최악의 이웃과 사랑에 빠지는 방법,코미디,3.1
한나,액션,2.9
돈의 맛,드라마,2.5
택시,액션,3.6
해롤드와 쿠마 2: 관타나모만 탈출,코미디,3.3
솔로이스트,음악,3.3
옴 샨티 옴,음악,3.4
머펫의 크리스마스 캐롤,가족,3.3
캐리비안의 해적 - 세상의 끝에서,액션,3.9
열차의 도착,다큐멘터리,3.9
파이터,드라마,3.7
캐리비안의 해적 - 망자의 함,스릴러,3.9
이층의 악당,스릴러,2.9
스턱 인 러브,코미디,3.5
런던시계탑 밑에서 사랑을 찾을 확률,코미디,3.5
이클립스,모험,3.5
뉴 문,모험,3.3
이스케이프,재난,3.2
킹콩,판타지,3.4
나이스 가이즈,액션,3.1
저수지의 개들,범죄,3.9
인디아나 존스: 크리스탈 해골의 왕국,액션,3.5
달콤한 인생,액션,3.9
오명,로맨스,3.7
스타트렉 비욘드,모험,3.7
스캐너 다클리,애니메이션,3.3
서프러제트,드라마,4.0
넥스트,액션,3.2
블레이드 러너,SF,3.9
42번가,로맨스,3.2
미니언즈: 미션 잔디 깎기!,애니메이션,3.4
환타지아,애니메이션,3.8
킬 미,로맨틱코미디,2.2
쉘터,공포,2.6
잘 있으니까 걱정 말아요,프랑스,3.4
한니발,범죄,3.6
드림업,코미디,3.1
제이슨 본,액션,3.6
제로 다크 서티,드라마,3.7
부산행,액션,3.8
로렐,드라마,3.4
오아시스,드라마,3.6
헤이츠,드라마,2.8
틴틴 : 유니콘호의 비밀,애니메이션,3.2
레전드 오브 타잔,로맨스,2.9
악마가 너의 죽음을 알기 전에,드라마,3.7
가족의 탄생,드라마,3.6
전망 좋은 방,드라마,3.5
마이펫의 이중생활,애니메이션,3.3
엄청나게 시끄럽고 믿을 수 없게 가까운,드라마,3.8
덤 앤 더머 투,코미디,2.9
지금은맞고그때는틀리다,드라마,3.4
너는 내 운명,로맨스,3.7
베케이션,코미디,3.1
엘리자베스타운,드라마,3.2
굿바이 레닌,코미디,3.7
타임 투 킬,드라마,3.5
멋진 하루,로맨스,3.5
스카이 하이,모험,3.0
런던 해즈 폴른,액션,3.1
키리시마가 동아리활동 그만둔대,드라마,3.6
완득이,드라마,3.4
혐오스런 마츠코의 일생,코미디,3.7
후궁 : 제왕의 첩,로맨스,2.7
괴테스쿨의 사고뭉치들,코미디,3.5
채식주의자,드라마,2.2
스플라이스,공포,2.8
거북이는 의외로 빨리 헤엄친다,코미디,3.5
아메리칸 허슬,범죄,3.5
굿바이 싱글,드라마,3.2
국제시장,드라마,3.8
스캔들 - 조선남녀상열지사,시대극,3.0
올 어바웃 스티브,로맨스,2.6
미 비포 유,드라마,3.7
프롬,드라마,2.7
레지던트,드라마,2.7
데몰리션 맨,액션,3.3
방자전,드라마,3.0
이집트 왕자,애니메이션,3.7
레이크 하우스,드라마,3.0
구스범스,모험,3.1
윈터스 본,드라마,3.3
갓 헬프 더 걸,드라마,3.4
블루 발렌타인,드라마,3.7
고령화가족,드라마,3.0
롤러코스터,코미디,2.8
업 클로즈 앤 퍼스널,로맨스,3.3
나의 소녀시대,로맨스,4.0
맨 인 블랙 3,액션,3.7
수상한 그녀,코미디,3.8
대통령의 연인,코미디,3.1
비밀,로맨스,3.5
프란시스 하,코미디,3.7
파이널 데스티네이션,판타지,3.1
엑스맨: 아포칼립스,SF,3.4
나의 PS 파트너,로맨스,3.2
실미도,전쟁,3.7
곰돌이 푸의 모험,가족,3.8
갓 오브 이집트,액션,2.9
팻 걸,드라마,2.9
제5원소,액션,3.8
감시자들,액션,3.5
더 픽사 스토리,다큐멘터리,4.0
제리,드라마,3.2
데스티네이션 2,공포,3.2
007 두번 산다,액션,3.3
곡성(哭聲),미스터리,3.9
스누피:더 피너츠 무비,애니메이션,3.6
하우 투 비 싱글,로맨스,3.4
지구가 끝장 나는 날,액션,3.5
아르고,드라마,3.6
인디아나 존스 - 최후의 성전,판타지,3.9
미스터 히치: 당신을 위한 데이트 코치,코미디,3.3
애니,드라마,3.6
캡틴 아메리카: 시빌 워,액션,3.9
독수리 에디,스포츠,3.3
쟈니 잉글리쉬,코미디,3.0
폭스파이어,드라마,3.6
"우리, 사랑일까요?",코미디,3.6
트렁크 속의 연인들,액션,3.2
머더 바이 넘버,스릴러,2.8
인디아나 존스: 마궁의 사원,액션,3.9
클로버필드,액션,3.4
굿 다이노,애니메이션,3.4
지상에서 영원으로,로맨스,3.6
버닝 맨,드라마,3.4
엽문3: 최후의 대결,액션,3.5
엽문 2,액션,3.5
엽문,액션,3.7
아메리칸 울트라,액션,2.9
스위트 알라바마,로맨틱코미디,2.8
위핏,드라마,3.4
어드벤처랜드,코미디,3.3
타임 투 리브,드라마,3.5
굿모닝 프레지던트,코미디,2.8
성난 황소,스포츠,3.9
허공에의 질주,범죄,4.1
스위치,코미디,3.1
낫씽 투 루즈,액션,3.1
와일드 차일드,틴에이저,3.5
지구를 지켜라!,코미디,3.4
여왕 마고,드라마,3.2
프랑켄위니,코미디,3.5
프랑켄위니,애니메이션,3.4
담뽀뽀,드라마,3.6
타임 머신,판타지,3.5
레베카,드라마,3.8
맨 온 렛지,스릴러,3.2
아서 뉴먼,드라마,2.8
무스탕: 랄리의 여름,드라마,3.9
스타워즈: 깨어난 포스,액션,3.6
폭풍의 질주,액션,3.4
춤추는 나의 베아트리체,로맨스,3.4
메인 스트리트,로맨스,2.3
아노말리사,드라마,3.7
개의 삶,코미디,3.6
드라마/맥스,로맨스,2.7
블라인드 사이드,드라마,4.0
바닐라 스카이,판타지,3.7
미스테리어스 스킨,드라마,3.6
뜨거운 오후,범죄,3.8
키스 미 어게인,미국,1.1
아르센 루팡,액션,2.7
체리밤,드라마,2.5
헝거게임: 더 파이널,액션,3.7
네트워크,드라마,3.7
배트맨 대 슈퍼맨: 저스티스의 시작,판타지,2.8
캠걸,드라마,2.0
모두가 대통령의 사람들,역사,3.7
"마진 콜: 24시간, 조작된 진실",드라마,3.5
진저 앤 로사,드라마,3.1
스포트라이트,드라마,4.0
리치몬드 연애 소동,드라마,3.0
증기선 윌리,애니메이션,3.5
"러브, 로지",로맨스,3.5
원 데이,드라마,3.7
런어웨이즈,드라마,3.0
저지 걸,코미디,3.2
쿵푸팬더 3,판타지,3.4
데어데블,판타지,2.7
빨간머리 앤 : 네버엔딩스토리,드라마,4.0
카오스,스릴러,2.6
발칙한 러브스캔들,로맨틱코미디,3.2
귀향,전쟁,3.8
마빈의 방,드라마,3.3
지상 최고의 아빠,드라마,3.2
은하수를 여행하는 히치하이커를 위한 안내서,모험,3.6
히스테리아,로맨틱코미디,3.1
동주,드라마,3.9
주토피아,모험,4.2
루즈 체인지,다큐멘터리,3.4
존레논 비긴즈-노웨어보이,드라마,3.3
남쪽으로 튀어,코미디,2.9
모터싸이클 다이어리,드라마,3.7
미스 페티그루의 어느 특별한 하루,로맨틱코미디,3.3
플레이스 비욘드 더 파인즈,범죄,3.7
에브리바디 올라잇,드라마,3.4
흐르는 강물처럼,드라마,3.9
데드풀,액션,3.8
리플리,범죄,3.8
범죄와의 전쟁 : 나쁜놈들 전성시대,액션,4.0
리턴 투 센더,드라마,2.7
바다의 노래:벤과 셀키요정의 비밀,판타지,3.9
달세계 여행,판타지,3.7
에비에이터,드라마,3.4
캐롤,드라마,4.0
멋진 인생,드라마,3.8
오픈 유어 아이즈,드라마,3.8
해피 이벤트,코미디,3.8
리지 맥과이어,가족,3.2
노예 12년,역사,3.8
스포트라이트,코미디,2.7
마스터,드라마,3.8
로우리스 : 나쁜 영웅들,범죄,3.4
제인 오스틴 북 클럽,로맨스,3.5
스타더스트,모험,3.2
오스틴랜드,로맨스,3.4
사랑은 당신,로맨스,3.0
새벽의 황당한 저주,공포,3.4
더 랍스터,코미디,3.7
조디악,스릴러,3.6
007 스펙터,모험,3.1
조셉 고든-레빗의 69채널,코미디,2.2
히트맨: 에이전트 47,액션,2.9
밤의 이야기,애니메이션,3.7
어나더 컨트리,로맨스,3.4
나의 판타스틱 데뷔작,액션,3.6
대호,역사,3.0
하우스 버니,코미디,3.1
레전드,범죄,3.1
시계태엽 오렌지,범죄,3.9
말레나,코미디,3.5
인세퍼러블,드라마,3.5
택시 드라이버,드라마,4.0
내 인생의 마지막 변화구,스포츠,3.5
샌프란시스코에서 하룻밤,로맨스,3.5
엠마,드라마,3.2
준벅,드라마,3.5
머펫 대소동,코미디,3.0
파고,범죄,3.9
카,애니메이션,3.4
레버넌트: 죽음에서 돌아온 자,액션,3.7
마미,드라마,3.8
세인트 트리니안스 2 - 프리튼 교장의 황금 전설,코미디,3.1
셔터 아일랜드,미스터리,3.9
레이더스,모험,4.0
시카리오: 암살자의 도시,액션,3.8
우먼 인 골드,드라마,3.7
세인트 트리니안스,코미디,3.3
람보,모험,3.5
투 다이 포,코미디,3.2
라 비 앙 로즈,드라마,3.8
아이다호,드라마,3.7
매그놀리아,드라마,3.9
러브 앤 머시,드라마,3.4
사랑도 통역이 되나요?,드라마,3.5
아리조나 유괴 사건,코미디,3.6
장고: 분노의 추적자,서부극,3.9
덤 앤 더머,코미디,3.6
원스 어폰 어 타임 인 아메리카,범죄,4.0
쥴 앤 짐,드라마,3.7
나를 미치게 하는 여자,코미디,3.0
더 노멀 하트,드라마,3.9
블러드 다이아몬드,액션,3.7
28주 후,드라마,3.6
사브리나,로맨스,3.1
아직은 사랑을 몰라요,코미디,2.5
툼 레이더,액션,3.3
어 퓨 굿 맨,드라마,3.8
크림슨피크,공포,3.0
아는 여자,코미디,3.5
래기스,로맨틱코미디,3.2
이퀼리브리엄,액션,3.7
슈팅 라이크 베컴,코미디,3.0
공동경비구역 JSA,드라마,3.9
시간을 달리는 소녀,로맨스,3.3
연애소설,로맨스,3.4
팬,모험,2.9
내겐 너무 사랑스러운 그녀,로맨틱코미디,3.4
미하엘 콜하스의 선택,드라마,3.3
나니아 연대기: 새벽 출정호의 항해,모험,3.5
작은 버즈라이트이어,애니메이션,3.5
파티사우루스 렉스,애니메이션,3.8
하와이안 베케이션,애니메이션,3.6
셜록: 유령신부,드라마,3.8
비포 미드나잇,드라마,3.9
선샤인 클리닝,코미디,3.4
박하사탕,드라마,3.7
소피의 선택,로맨스,3.6
더 그레이,액션,3.2
혹성 탈출 1,모험,3.8
바운스,드라마,2.7
아메리칸 사이코,범죄,3.7
마마듀크,코미디,2.6
아이언 마스크,판타지,3.3
인턴,드라마,3.9
낫 세이프 포 워크,스릴러,3.2
극적인 하룻밤,코미디,2.7
세레모니,코미디,2.6
배트맨 리턴즈,액션,3.7
초능력자,드라마,2.8
미쓰 와이프,코미디,3.3
크리스마스 캐롤,애니메이션,3.3
행복배달부 팻아저씨,가족,3.3
더 딥 블루 씨,드라마,3.1
터미네이터 제니시스,SF,3.4
안녕! 유에프오,로맨틱코미디,2.7
모범시민,액션,3.6
아이스 에이지: 어 매머드 크리스마스,애니메이션,2.8
펄프 픽션,범죄,4.0
무드 인디고,드라마,3.6
로미오와 줄리엣,로맨스,3.8
굿모닝 에브리원,로맨틱코미디,3.5
솔저스 걸,드라마,3.8
체인지 업,코미디,3.2
러브 앤 워,로맨스,3.0
"달콤, 살벌한 연인",로맨틱코미디,3.1
노생거 사원,로맨스,3.3
뜨거운 것이 좋아,로맨스,3.7
러브 인 비즈니스클래스,로맨틱코미디,3.1
설득,로맨스,3.7
다우트,드라마,3.9
맨스필드 파크,드라마,3.0
베이비 길들이기,코미디,3.5
웨스트 사이드 스토리,음악,3.6
라이프 애프터 베스,코미디,2.3
엠마,로맨틱코미디,3.3
천사와 사랑을,판타지,3.2
화이 : 괴물을 삼킨 아이,액션,3.4
더 콘서트,코미디,3.5
노라 없는 5일,드라마,2.9
건축학개론,로맨스,3.5
파수꾼,틴에이저,3.9
가을의 전설,드라마,3.8
프로메테우스,SF,3.6
어느날 밤에 생긴 일,로맨틱코미디,3.7
더 폰,범죄,3.3
황해,스릴러,3.7
동물 농장,애니메이션,3.6
세인트 루이스에서 만나요,로맨스,3.5
위대한 독재자,코미디,4.0
나는 전설이다,모험,3.6
로렌스 애니웨이,드라마,3.8
멜랑콜리아,드라마,3.8
12 몽키즈,미스터리,3.7
하나와 앨리스 : 살인사건,애니메이션,3.5
붙어야 산다,코미디,3.1
더 보이스,코미디,3.1
어린왕자,판타지,3.8
햄릿 2000,로맨스,2.7
헤더스,스릴러,3.3
매직 마이크 XXL,드라마,3.1
"페어웰, 마이 퀸",드라마,3.0
위대한 유산,드라마,3.6
청춘 스케치,코미디,3.7
채플린,드라마,3.7
벨벳 골드마인,음악,3.7
007 썬더볼 작전,액션,3.4
007 골드핑거,액션,3.4
007 위기일발,액션,3.4
007 살인번호,스릴러,3.4
로프,범죄,3.8
별을 쫓는 아이:아가르타의 전설,애니메이션,3.5
도그마,모험,3.1
내 남자 사용법,로맨틱코미디,3.3
마린,드라마,2.9
철도원,드라마,3.5
황금광 시대,모험,3.9
달콤한 복수,로맨틱코미디,2.7
렌트,음악,3.7
새벽의 저주,액션,3.7
에베레스트,모험,3.2
파퍼씨네 펭귄들,코미디,3.4
검은 사제들,스릴러,3.6
다크 사이드 오브 선,로맨스,2.6
"러브, 마릴린",다큐멘터리,3.4
온리 포 유,로맨틱코미디,3.2
미녀와 야수,드라마,3.6
시티 라이트,로맨틱코미디,3.9
신부와 편견,드라마,3.2
천녀유혼,액션,3.8
내일을 향해 쏴라,서부극,3.9
새,공포,3.8
화이트 하우스 다운,액션,3.2
오만과 편견,드라마,3.3
로리타,범죄,3.5
더 헌트,드라마,3.8
에이리언 4,SF,3.5
오즈의 마법사,판타지,3.7
에이리언 3,SF,3.5
모라토리움기의 다마코,드라마,3.2
에이리언 2,액션,3.8
에이리언,공포,3.9
맨 프롬 UNCLE,코미디,3.4
하트비트,드라마,3.7
쉬리,액션,3.7
잠수종과 나비,드라마,3.7
하나와 앨리스,로맨스,3.5
이상한 나라의 앨리스,애니메이션,3.8
"가장 따뜻한 색, 블루",드라마,3.8
심야식당,코미디,3.7
중경삼림,로맨스,4.0
앵무새 죽이기,드라마,3.7
마션,모험,3.9
저지 드레드,액션,3.1
진주만,액션,3.6
버진 스노우,드라마,2.8
스물,드라마,3.4
친구,액션,3.8
데스 노트,판타지,3.2
비치,모험,3.3
표적,드라마,3.2
레퀴엠,드라마,4.0
모퉁이 가게,로맨틱코미디,3.7
소셜포비아,스릴러,3.2
청춘의 증언,드라마,3.7
특종: 량첸살인기,스릴러,3.1
스트롭 에지,로맨스,2.6
카포티,범죄,3.6
다 큰 녀석들,코미디,3.5
후세: 말하지 못한 내 사랑,애니메이션,3.6
씨민과 나데르의 별거,드라마,4.0
베스트 엑조틱 메리골드 호텔,코미디,3.5
아드레날린 24,액션,3.4
아폴로 13,모험,3.6
안나 카레니나,드라마,3.5
인서전트,SF,3.4
베니스의 상인,드라마,3.2
아메리칸 스나이퍼,스릴러,3.8
프랭크,음악,3.4
퀵 앤 데드,서부극,2.9
