제목,장르,총 평점
여고괴담 두번째 이야기,공포,2.9
여고괴담,공포,3.0
박나래의 농염주의보,코미디,2.8
글래스,드라마,3.3
언브레이커블,드라마,3.4
예스터데이,음악,2.9
그것: 두 번째 이야기,공포,2.9
장난스런 키스,코미디,3.6
피스 오브 케이크,로맨스,3.1
비바리움,SF,3.1
남의 떡,코미디,3.0
나의 하늘은 핑크빛,드라마,3.6
화녀,로맨스,3.6
소년과 바다,드라마,3.3
아만다의 선택,드라마,2.8
더 퍼스트 퍼지,액션,2.3
위험한 이웃,다큐멘터리,3.0
파리의 딜릴리,애니메이션,3.7
경찰,코미디,3.6
커런트 워,드라마,3.2
안전불감증,로맨스,3.9
대열차 강도,범죄,3.3
하이 사인,코미디,3.6
톨 걸,코미디,2.4
킹 아서: 제왕의 검,드라마,3.1
분노의 역류,액션,3.7
셜록 2세,코미디,4.1
크래쉬,범죄,3.6
카메라맨,로맨스,4.1
아더왕의 검,애니메이션,3.3
이웃,로맨스,3.7
일주일,코미디,3.8
화니 걸,로맨스,3.6
스파이더맨: 파 프롬 홈,액션,3.6
메릴 스트립의 실크우드,스릴러,3.5
시크릿 옵세션,드라마,1.9
철목련,드라마,3.4
벌새,드라마,3.9
호텔 뭄바이,드라마,3.7
어느 날 인생이 엉켰다,코미디,3.4
해피타임 스파이,액션,2.6
폴링 인 러브,로맨틱코미디,2.6
밤의 문이 열린다,드라마,3.1
프리 윌리,드라마,3.7
나는 악마를 사랑했다,범죄,3.1
에브리데이,로맨스,2.9
유랑지구,액션,2.7
마이펫의 이중생활2,애니메이션,3.1
캐서린 라이언: 논란 제조기,코미디,3.4
캐서린 라이언: 글리터 룸,코미디,3.8
써커 펀치,판타지,2.4
어스,공포,3.3
완다 사이크스: 정상이 아니야 ,코미디,3.4
휘트니 커밍스: 만져도 돼?,코미디,3.6
스타게이트,액션,3.5
썸원 그레이트,코미디,3.2
마멀레이드 보이,로맨스,3.0
"러브, 사이먼",로맨틱코미디,3.7
지랄발광 17세,코미디,3.4
"러브, 어게인",로맨스,3.2
맨 인 블랙: 인터내셔널,액션,2.6
라이온 킹,모험,3.3
어느 일란성 세 쌍둥이의 재회,다큐멘터리,3.6
알리타: 배틀 엔젤,액션,3.4
파이브 피트,로맨스,3.7
하얀 궁전,드라마,3.4
우정의 조건,드라마,3.1
우이 러브,코미디,2.2
토이 스토리 4,애니메이션,3.9
더 보이,공포,2.3
왓칭,공포,1.8
기생충,드라마,4.3
우리 사이 어쩌면,코미디,2.9
드래곤 길들이기 3,애니메이션,3.7
알라딘,모험,3.9
걸캅스,코미디,3.4
더 길티,범죄,3.5
명탐정 피카츄,판타지,3.0
허니,드라마,2.7
메이트,드라마,3.2
빌 스트리트가 말할 수 있다면,로맨스,3.4
"비둘기, 가지에 앉아 존재를 성찰하다",코미디,3.6
결혼의 조건,드라마,3.0
위대한 버스터 키튼,다큐멘터리,3.5
굿바이 썸머,로맨스,2.5
디아만티노,코미디,3.2
미드 90,코미디,3.6
