title,director,content_type,genres,nation,year,ratings_avg,movie_code
순환하는 밤,['백종관'],movies,['드라마'],한국,2016,2.9,mO0g6YL
사슴꽃,['김강민'],movies,"['애니메이션', '단편']",미국,2015,3.3,mWpmP74
자백,['최승호'],movies,['다큐멘터리'],한국,2016,3.6,m5XME0z
변방의 시인,['쥐안치'],movies,['다큐멘터리'],중국,2015,2.9,mO8KoYq
자상,['리카르도 실바'],movies,['다큐멘터리'],멕시코,2014,3.3,mWzwXgg
전쟁을 준비하라,['루카스 발렌타 라이너'],movies,[],오스트리아,2015,2.5,m5aV3pj
내 숨이 멎을 때까지,['에마인 에멜 발시'],movies,[],터키,2015,3.6,m5XMAqD
성실한 나라의 앨리스,['안국진'],movies,['드라마'],한국,2014,3.6,mWyJJj1
울보,['이진우'],movies,['드라마'],한국,2015,2.9,m5aV3Nv
토끼의 뿔,['한인미'],movies,[],한국,2015,2.7,m5Y608w
폭력의 틈,['임철'],movies,['드라마'],한국,2015,2.8,m5Y60gG
고란살,[],movies,[],한국,2015,2.7,m5m1Qg3
춘희막이,['박혁지'],movies,"['드라마', '다큐멘터리']",한국,2015,3.6,mWqJBma
소년,['김현승'],movies,['드라마'],한국,2015,3.0,m5NVgzE
해에게서 소년에게,['안슬기'],movies,['드라마'],한국,2015,2.7,mO0gjPv
공포의 역사,['벤자민 나이스타트'],movies,"['드라마', '스릴러']",우루과이,2014,3.1,m5aV77G
호텔 누에바 이슬라,"['이레네 구티에레즈 토레스', '하비에르 라브라도르']",movies,['다큐멘터리'],쿠바,2014,3.4,mObG4LN
새출발,['장우진'],movies,['드라마'],한국,2014,3.2,mOAZPKZ
저 문은 언제부터 열려있었던 거지?,['김유리'],movies,[],한국,2013,2.6,mO0goGx
12번째 보조사제,['장재현'],movies,['공포'],한국,2014,3.7,mWyJpMr
호산나,['나영길'],movies,['드라마'],한국,2014,3.0,mO0gRge
죽음의 해안,['로이스 파티노'],movies,"['다큐멘터리', '드라마', '가족']",스페인,2013,3.0,mdKBm8z
마녀,['유영선'],movies,"['스릴러', '공포']",한국,2013,2.9,mOk64DM
60만번의 트라이,"['박사유', '박돈사']",movies,"['드라마', '다큐멘터리', '코미디']",일본,2013,3.5,mObGX9k
동경가족,['야마다 요지'],movies,['드라마'],일본,2013,3.6,mW4vVRd
공동정범,"['이혁상', '김일란']",movies,['다큐멘터리'],한국,2016,3.6,mWJypRJ
빈곤의 얼굴들 3 <가족이 있어서 어렵습니다>,['장호경'],movies,"['다큐멘터리', '단편']",한국,2016,0.0,mOkL4rw
눈물과 웃음의 베오그라드 안내서,['보얀 불레티치'],movies,"['로맨틱코미디', '드라마']",독일,2011,3.2,m5QZq7W
잘 먹고 잘 사는 법,[],movies,['드라마'],한국,2013,3.4,m5m19DA
가면과 거울,['민병훈'],movies,"['드라마', '단편']",한국,2012,2.7,m5nQpgY
두 신사,[],movies,['애니메이션'],한국,2012,3.3,m5aVBZl
파괴된 낙원,['이브 디보이즈'],movies,['드라마'],프랑스,2012,3.2,mObGQkk
깃털,['오자와 마사토'],movies,['드라마'],일본,2013,3.0,mOgBQXn
맘메이 아저씨,['드웨인 발타자르'],movies,['드라마'],필리핀,2012,2.8,m5m1x6D
디셈버,['박정훈'],movies,"['드라마', '로맨스']",한국,2012,3.1,md6YjMY
환상속의 그대,['강진아'],movies,['로맨스'],한국,2013,3.1,mOoeKZ5
레바논 감정,['정영헌'],movies,"['로맨스', '드라마', '스릴러']",한국,2013,2.9,mOAZoeZ
마이 플레이스,['박문칠'],movies,['다큐멘터리'],한국,2013,3.6,md76Pg2
플래시백 메모리즈 3D,['마츠에 테츠아키'],movies,['다큐멘터리'],일본,2012,4.2,m5rjjV5
엑스 프레스,['제트 B. 레이코'],movies,['다큐멘터리'],필리핀,2011,4.0,mOoJeNW
너에게 간다,['신이수'],movies,['드라마'],한국,2012,0.0,mOopoDa
바람이 부는 까닭,['이행준'],movies,[],한국,2012,3.4,mOl496A
자코모의 여름,['알레산드로 코모딘'],movies,['다큐멘터리'],이탈리아,2011,3.4,mO0rKe5
강은 한때 인간이었다,['잔 자베일'],movies,['드라마'],독일,2011,3.0,mOAVYPd
잠 못 드는 밤,['장건재'],movies,"['로맨스', '드라마']",한국,2012,2.9,mW9E0GW
파닥파닥,['이대희'],movies,['애니메이션'],한국,2012,3.4,mObEo7W
아버지 없는 삶,['김응수'],movies,['다큐멘터리'],한국,2012,3.0,mWzMXB5
오목어,['김진만'],movies,['애니메이션'],한국,2012,3.5,mO8Km1j
