title,director,content_type,genres,nation,year,ratings_avg,movie_code
대지의 눈물,['사티야지트 레이'],movies,['드라마'],인도,1973,3.8,mWJj3JW
캔터베리 이야기,['피에르 파올로 파졸리니'],movies,"['드라마', '코미디']",이탈리아,1972,3.6,mWy6zkO
핀치 콘티니의 정원,['비토리오 데 시카'],movies,"['드라마', '전쟁', '로맨스']",독일,1970,3.3,m5YBRwW
얼리 웍스,['젤리미르 질닉'],movies,"['드라마', '코미디']",유고슬라비아,1969,3.5,m5XRw1O
누가 그의 죽음을 보았는가,['얀 트로엘'],movies,[],스웨덴,1968,3.5,mO0DKxO
출발,['예르지 스콜리모브스키'],movies,"['드라마', '로맨스', '코미디']",벨기에,1967,3.5,md6nmZd
막다른 골목,['로만 폴란스키'],movies,"['드라마', '스릴러', '코미디']",영국,1966,3.6,mO1yzxO
알파빌,['장 뤽 고다르'],movies,"['로맨스', '드라마', '스릴러']",이탈리아,1965,3.7,m5YV2GW
메마른 여름,['메틴 에륵산'],movies,[],터키,1964,3.4,mOg7w0O
디아볼로,['지안 루이지 폴리도로'],movies,['스릴러'],이탈리아,1963,3.5,mWzY0B5
부시도,['이마이 타다시'],movies,"['액션', '드라마']",일본,1963,3.5,mdEVmg5
사랑의 유형,['존 슐레진저'],movies,"['로맨스', '드라마']",영국,1962,3.4,m5GejNO
밤,['미켈란젤로 안토니오니'],movies,['드라마'],이탈리아,1961,3.9,mdjmQlO
엘 라사리요 데 토르메스,['세자르 페르난데즈 아르다빈'],movies,"['드라마', '코미디']",스페인,1959,3.3,mWv8Q0d
사촌들,['끌로드 샤브롤'],movies,['드라마'],프랑스,1959,3.6,m5nYoXd
산딸기,['잉마르 베리만'],movies,['드라마'],스웨덴,1957,3.9,m85XnNO
12명의 성난 사람들,['시드니 루멧'],movies,['드라마'],미국,1957,4.2,mdBzxzd
인버테이션 투 더 댄스,['진 켈리'],movies,"['액션', '드라마', '스릴러']",미국,1956,3.4,m5n6bk5
더 랫츠,['로버트 시오드맥'],movies,['드라마'],독일,1955,0.0,m53m2Np
홉슨의 사위 고르기,['데이비드 린'],movies,"['로맨틱코미디', '드라마']",영국,1954,3.8,mWzeLg5
공포의 보수,['앙리 조르주 클루조'],movies,"['스릴러', '드라마', '모험']",프랑스,1953,3.8,mdj02JW
원 섬머 오브 해피니스,['아른 매트슨'],movies,"['로맨스', '드라마']",스웨덴,1951,0.0,mWyQGRM
신데렐라,"['윌프레드 잭슨', '해밀턴 러스크', '클라이드 제로니미']",movies,"['애니메이션', '판타지', '로맨스', '드라마']",미국,1950,3.7,mdjmbzO
재판은 끝났다,['안드레 카야트'],movies,['드라마'],프랑스,1950,0.0,mWvVb7Z
인 비버 밸리,['제임스 알가'],movies,"['가족', '다큐멘터리']",미국,1950,0.0,md7J2rM
위드아웃 리빙 언 어드레스 ,['장 폴 르 샤누아'],movies,"['드라마', '코미디']",프랑스,1951,0.0,m5ag41q
포 인 어 지프,"['레오폴드 린트버그', '엘리자베스 몬타그']",movies,['드라마'],스위스,1951,0.0,m5ngYnW
