title,director,content_type,genres,nation,year,ratings_avg,movie_code
시간의 역사,['에롤 모리스'],movies,[],영국,1991,3.5,mOA3AX5
파인딩 크리스타,"['카밀 빌롭스', '제임스 해치']",movies,['다큐멘터리'],미국,1991,4.4,mWzLxgd
포이즌,['토드 헤인즈'],movies,['공포'],미국,1991,3.2,mOblXa5
아메리칸 드림,"['캐시 캐플란', '토머스 하네크', '바바라 코플', '로렌스 실크']",movies,['다큐멘터리'],영국,1991,3.6,mWpQPMO
파리 이즈 버닝,['제니 리빙스턴'],movies,['다큐멘터리'],미국,1990,3.9,mOgJoAW
카멜레온 스트리트,['웰델 B. 해리스 주니어'],movies,"['드라마', '코미디']",미국,1989,3.1,mO1kZQ5
H-2 워커,['스테파니 블랙'],movies,[],미국,1990,3.4,m5DnZ3O
신부는 왼손잡이,['낸시 사보카'],movies,['코미디'],미국,1989,3.2,m5mLxjd
포 올 맨카인드,['알 라이너'],movies,['다큐멘터리'],미국,1989,3.9,mWp49xW
히트 앤 선라이트,['랍 닐슨'],movies,['드라마'],미국,1987,3.4,mOly46d
베이루트 - 라스트 홈 무비,['제니퍼 폭스'],movies,['다큐멘터리'],미국,1987,4.5,m534Y2W
다이안,['게리 워코브'],movies,['코미디'],미국,1987,3.4,mdRRxDd
웨이팅 포 더 문,['질 갓밀로우'],movies,[],독일,1987,3.4,mWwgR7W
셔먼의 행진,['로스 맥켈위'],movies,['다큐멘터리'],미국,1986,3.3,mOV4R85
커니의 성인식,['조이스 초프라'],movies,"['로맨스', '드라마', '스릴러']",미국,1985,2.5,mdEz405
밀담,['크리스찬 블랙우드'],movies,['다큐멘터리'],미국,1985,3.7,mW4wgl5
세븐틴,[],movies,['다큐멘터리'],미국,1983,3.3,m5XyNNW
블러드 심플,"['조엘 코엔', '에단 코엔']",movies,"['범죄', '드라마', '스릴러']",미국,1984,3.7,mnWJ6JW
